step,train_loss0,train_loss1,train_loss2,train_loss_coordintae
0,,,,
1,10.046729,9.400441,7.260267,22.211166
2,9.166386,8.733954,7.7060246,21.95964
3,9.586604,8.397396,7.5041175,23.069057
4,9.335589,8.755328,7.0961337,25.19209
5,9.773709,8.679121,7.491936,25.219862
