step,avg_reward
0,-199.45412
1,-200.04051
2,-197.76888
3,-199.52342
4,-199.16612
5,-198.1649
6,-200.26114
7,-198.95628
8,-199.37653
9,-199.53143
10,-199.01178
11,-198.40196
12,-199.66519
13,-200.92595
14,-197.86098
15,-196.58914
16,-199.184
17,-198.23071
18,-200.50064
19,-198.81462
20,-200.80833
