step,avg_reward
0,-202.86493
1,-199.51
2,-199.71004
3,-199.26273
4,-198.16116
5,-198.5214
6,-197.68457
7,-198.31918
8,-198.76578
9,-197.68875
10,-198.83554
11,-197.01817
12,-200.22768
13,-198.996
14,-198.16487
15,-198.83498
16,-199.47487
17,-198.43872
18,-198.36511
19,-198.13577
20,-198.14905
21,-198.40022
22,-198.71826
23,-197.76048
24,-199.27132
25,-198.88263
26,-199.1781
27,-198.60706
28,-198.61348
29,-199.02773
30,-198.24022
31,-198.94719
32,-198.15771
33,-198.23901
34,-197.94641
35,-199.22466
36,-198.48514
