step,train_loss
0,
1,"tf.Tensor(4.913976, shape=(), dtype=float32)"
2,"tf.Tensor(4.9811106, shape=(), dtype=float32)"
3,"tf.Tensor(4.724025, shape=(), dtype=float32)"
4,"tf.Tensor(4.276172, shape=(), dtype=float32)"
5,"tf.Tensor(4.4119983, shape=(), dtype=float32)"
6,"tf.Tensor(5.744233, shape=(), dtype=float32)"
7,"tf.Tensor(4.1574707, shape=(), dtype=float32)"
8,"tf.Tensor(3.9477324, shape=(), dtype=float32)"
9,"tf.Tensor(3.964915, shape=(), dtype=float32)"
10,"tf.Tensor(4.0763855, shape=(), dtype=float32)"
11,"tf.Tensor(4.5292897, shape=(), dtype=float32)"
12,"tf.Tensor(5.245385, shape=(), dtype=float32)"
13,"tf.Tensor(8.311223, shape=(), dtype=float32)"
14,"tf.Tensor(8.32187, shape=(), dtype=float32)"
15,"tf.Tensor(8.638982, shape=(), dtype=float32)"
16,"tf.Tensor(7.14537, shape=(), dtype=float32)"
17,"tf.Tensor(7.1323385, shape=(), dtype=float32)"
18,"tf.Tensor(7.93349, shape=(), dtype=float32)"
19,"tf.Tensor(9.679041, shape=(), dtype=float32)"
20,"tf.Tensor(10.9273, shape=(), dtype=float32)"
21,"tf.Tensor(12.501671, shape=(), dtype=float32)"
22,"tf.Tensor(12.767846, shape=(), dtype=float32)"
23,"tf.Tensor(11.765917, shape=(), dtype=float32)"
24,"tf.Tensor(8.64385, shape=(), dtype=float32)"
25,"tf.Tensor(8.323584, shape=(), dtype=float32)"
26,"tf.Tensor(9.357331, shape=(), dtype=float32)"
27,"tf.Tensor(8.162827, shape=(), dtype=float32)"
28,"tf.Tensor(9.61812, shape=(), dtype=float32)"
29,"tf.Tensor(7.4552407, shape=(), dtype=float32)"
30,"tf.Tensor(8.011362, shape=(), dtype=float32)"
31,"tf.Tensor(8.57785, shape=(), dtype=float32)"
32,"tf.Tensor(7.289572, shape=(), dtype=float32)"
33,"tf.Tensor(7.868612, shape=(), dtype=float32)"
34,"tf.Tensor(10.499818, shape=(), dtype=float32)"
35,"tf.Tensor(9.541705, shape=(), dtype=float32)"
36,"tf.Tensor(11.007493, shape=(), dtype=float32)"
37,"tf.Tensor(8.724817, shape=(), dtype=float32)"
38,"tf.Tensor(9.666828, shape=(), dtype=float32)"
39,"tf.Tensor(8.662772, shape=(), dtype=float32)"
40,"tf.Tensor(7.9361343, shape=(), dtype=float32)"
41,"tf.Tensor(9.960114, shape=(), dtype=float32)"
42,"tf.Tensor(10.305171, shape=(), dtype=float32)"
43,"tf.Tensor(9.585055, shape=(), dtype=float32)"
44,"tf.Tensor(8.011005, shape=(), dtype=float32)"
45,"tf.Tensor(10.4446745, shape=(), dtype=float32)"
46,"tf.Tensor(8.5355835, shape=(), dtype=float32)"
