step,avg_reward
0,-202.41235
1,-214.61101
2,-214.03394
3,-213.66377
4,-214.73717
5,-213.46024
6,-213.60666
7,-209.9237
8,-209.96596
9,-209.74487
10,-210.92813
11,-209.8854
12,-209.57565
13,-210.33148
14,-210.24231
15,-210.28795
16,-211.14365
17,-210.78738
18,-210.03094
19,-208.22466
20,-210.29538
