step,train_loss
0,
1,"tf.Tensor(9.181217, shape=(), dtype=float32)"
2,"tf.Tensor(4.806675, shape=(), dtype=float32)"
3,"tf.Tensor(3.385298, shape=(), dtype=float32)"
4,"tf.Tensor(2.5463862, shape=(), dtype=float32)"
5,"tf.Tensor(1.8838918, shape=(), dtype=float32)"
6,"tf.Tensor(1.2453079, shape=(), dtype=float32)"
7,"tf.Tensor(0.9472853, shape=(), dtype=float32)"
8,"tf.Tensor(1.4264213, shape=(), dtype=float32)"
9,"tf.Tensor(1.6804984, shape=(), dtype=float32)"
10,"tf.Tensor(1.3294182, shape=(), dtype=float32)"
11,"tf.Tensor(1.8840406, shape=(), dtype=float32)"
12,"tf.Tensor(1.4250933, shape=(), dtype=float32)"
13,"tf.Tensor(0.95350313, shape=(), dtype=float32)"
14,"tf.Tensor(0.78699905, shape=(), dtype=float32)"
15,"tf.Tensor(1.2566527, shape=(), dtype=float32)"
16,"tf.Tensor(0.8624989, shape=(), dtype=float32)"
17,"tf.Tensor(1.2139513, shape=(), dtype=float32)"
18,"tf.Tensor(1.1019881, shape=(), dtype=float32)"
19,"tf.Tensor(1.169465, shape=(), dtype=float32)"
20,"tf.Tensor(0.84930754, shape=(), dtype=float32)"
21,"tf.Tensor(1.1615818, shape=(), dtype=float32)"
22,"tf.Tensor(1.4660115, shape=(), dtype=float32)"
23,"tf.Tensor(1.1229751, shape=(), dtype=float32)"
24,"tf.Tensor(1.2914808, shape=(), dtype=float32)"
25,"tf.Tensor(0.7844321, shape=(), dtype=float32)"
26,"tf.Tensor(1.0152642, shape=(), dtype=float32)"
27,"tf.Tensor(1.3117402, shape=(), dtype=float32)"
28,"tf.Tensor(1.0643103, shape=(), dtype=float32)"
29,"tf.Tensor(1.4718356, shape=(), dtype=float32)"
30,"tf.Tensor(1.2742605, shape=(), dtype=float32)"
31,"tf.Tensor(0.88171136, shape=(), dtype=float32)"
32,"tf.Tensor(1.3027838, shape=(), dtype=float32)"
33,"tf.Tensor(1.1131227, shape=(), dtype=float32)"
34,"tf.Tensor(1.1010655, shape=(), dtype=float32)"
35,"tf.Tensor(0.5556125, shape=(), dtype=float32)"
36,"tf.Tensor(0.6371497, shape=(), dtype=float32)"
37,"tf.Tensor(0.9922066, shape=(), dtype=float32)"
38,"tf.Tensor(1.3588239, shape=(), dtype=float32)"
39,"tf.Tensor(0.9253461, shape=(), dtype=float32)"
40,"tf.Tensor(0.9071424, shape=(), dtype=float32)"
41,"tf.Tensor(1.0470022, shape=(), dtype=float32)"
42,"tf.Tensor(0.887928, shape=(), dtype=float32)"
43,"tf.Tensor(1.9154379, shape=(), dtype=float32)"
44,"tf.Tensor(1.0729162, shape=(), dtype=float32)"
45,"tf.Tensor(0.75455916, shape=(), dtype=float32)"
46,"tf.Tensor(1.0748085, shape=(), dtype=float32)"
47,"tf.Tensor(0.91486645, shape=(), dtype=float32)"
48,"tf.Tensor(0.8858316, shape=(), dtype=float32)"
49,"tf.Tensor(0.9507985, shape=(), dtype=float32)"
50,"tf.Tensor(0.750234, shape=(), dtype=float32)"
51,"tf.Tensor(1.6129304, shape=(), dtype=float32)"
52,"tf.Tensor(1.3935266, shape=(), dtype=float32)"
53,"tf.Tensor(0.73901194, shape=(), dtype=float32)"
54,"tf.Tensor(1.2396214, shape=(), dtype=float32)"
55,"tf.Tensor(1.362689, shape=(), dtype=float32)"
56,"tf.Tensor(1.429998, shape=(), dtype=float32)"
57,"tf.Tensor(1.0952759, shape=(), dtype=float32)"
58,"tf.Tensor(0.99534273, shape=(), dtype=float32)"
59,"tf.Tensor(1.6570485, shape=(), dtype=float32)"
60,"tf.Tensor(0.8700774, shape=(), dtype=float32)"
61,"tf.Tensor(0.7569159, shape=(), dtype=float32)"
62,"tf.Tensor(1.1338601, shape=(), dtype=float32)"
63,"tf.Tensor(0.8500146, shape=(), dtype=float32)"
64,"tf.Tensor(0.82761514, shape=(), dtype=float32)"
