step,train_loss
0,
1,"tf.Tensor(11.158169, shape=(), dtype=float32)"
2,"tf.Tensor(8.447542, shape=(), dtype=float32)"
3,"tf.Tensor(8.805388, shape=(), dtype=float32)"
4,"tf.Tensor(8.448164, shape=(), dtype=float32)"
5,"tf.Tensor(8.425324, shape=(), dtype=float32)"
6,"tf.Tensor(8.483309, shape=(), dtype=float32)"
7,"tf.Tensor(8.604321, shape=(), dtype=float32)"
8,"tf.Tensor(8.652452, shape=(), dtype=float32)"
9,"tf.Tensor(8.598237, shape=(), dtype=float32)"
10,"tf.Tensor(8.397913, shape=(), dtype=float32)"
11,"tf.Tensor(8.442818, shape=(), dtype=float32)"
12,"tf.Tensor(8.460901, shape=(), dtype=float32)"
13,"tf.Tensor(8.452094, shape=(), dtype=float32)"
14,"tf.Tensor(8.515426, shape=(), dtype=float32)"
15,"tf.Tensor(8.27767, shape=(), dtype=float32)"
16,"tf.Tensor(8.205435, shape=(), dtype=float32)"
17,"tf.Tensor(8.372123, shape=(), dtype=float32)"
18,"tf.Tensor(8.440471, shape=(), dtype=float32)"
19,"tf.Tensor(8.193594, shape=(), dtype=float32)"
20,"tf.Tensor(8.284364, shape=(), dtype=float32)"
21,"tf.Tensor(8.199868, shape=(), dtype=float32)"
22,"tf.Tensor(8.189904, shape=(), dtype=float32)"
23,"tf.Tensor(8.175304, shape=(), dtype=float32)"
24,"tf.Tensor(8.167744, shape=(), dtype=float32)"
25,"tf.Tensor(8.069166, shape=(), dtype=float32)"
26,"tf.Tensor(8.1022835, shape=(), dtype=float32)"
27,"tf.Tensor(8.13055, shape=(), dtype=float32)"
28,"tf.Tensor(8.069315, shape=(), dtype=float32)"
29,"tf.Tensor(7.9294963, shape=(), dtype=float32)"
30,"tf.Tensor(7.9815316, shape=(), dtype=float32)"
31,"tf.Tensor(8.058131, shape=(), dtype=float32)"
32,"tf.Tensor(7.882345, shape=(), dtype=float32)"
33,"tf.Tensor(7.9156284, shape=(), dtype=float32)"
34,"tf.Tensor(7.919633, shape=(), dtype=float32)"
35,"tf.Tensor(7.869933, shape=(), dtype=float32)"
36,"tf.Tensor(7.693999, shape=(), dtype=float32)"
37,"tf.Tensor(7.819489, shape=(), dtype=float32)"
38,"tf.Tensor(7.759623, shape=(), dtype=float32)"
39,"tf.Tensor(7.747141, shape=(), dtype=float32)"
40,"tf.Tensor(7.629664, shape=(), dtype=float32)"
41,"tf.Tensor(7.7360635, shape=(), dtype=float32)"
42,"tf.Tensor(7.7810416, shape=(), dtype=float32)"
43,"tf.Tensor(7.8795085, shape=(), dtype=float32)"
44,"tf.Tensor(7.7592187, shape=(), dtype=float32)"
45,"tf.Tensor(7.8944516, shape=(), dtype=float32)"
46,"tf.Tensor(7.73401, shape=(), dtype=float32)"
47,"tf.Tensor(7.676903, shape=(), dtype=float32)"
48,"tf.Tensor(7.7143464, shape=(), dtype=float32)"
49,"tf.Tensor(7.780261, shape=(), dtype=float32)"
50,"tf.Tensor(7.644886, shape=(), dtype=float32)"
51,"tf.Tensor(7.6902122, shape=(), dtype=float32)"
52,"tf.Tensor(7.83368, shape=(), dtype=float32)"
53,"tf.Tensor(7.8584204, shape=(), dtype=float32)"
54,"tf.Tensor(7.707312, shape=(), dtype=float32)"
55,"tf.Tensor(7.8505664, shape=(), dtype=float32)"
