step,train_loss
0,
1,"tf.Tensor(39.11343, shape=(), dtype=float32)"
2,"tf.Tensor(62.31745, shape=(), dtype=float32)"
3,"tf.Tensor(8.479673, shape=(), dtype=float32)"
4,"tf.Tensor(10.157573, shape=(), dtype=float32)"
5,"tf.Tensor(11.729867, shape=(), dtype=float32)"
6,"tf.Tensor(14.970721, shape=(), dtype=float32)"
7,"tf.Tensor(16.453676, shape=(), dtype=float32)"
8,"tf.Tensor(17.243189, shape=(), dtype=float32)"
9,"tf.Tensor(17.847948, shape=(), dtype=float32)"
10,"tf.Tensor(18.971966, shape=(), dtype=float32)"
11,"tf.Tensor(19.943586, shape=(), dtype=float32)"
12,"tf.Tensor(19.874363, shape=(), dtype=float32)"
13,"tf.Tensor(20.948862, shape=(), dtype=float32)"
14,"tf.Tensor(20.296934, shape=(), dtype=float32)"
15,"tf.Tensor(20.225555, shape=(), dtype=float32)"
16,"tf.Tensor(20.546366, shape=(), dtype=float32)"
17,"tf.Tensor(20.393738, shape=(), dtype=float32)"
18,"tf.Tensor(20.788885, shape=(), dtype=float32)"
19,"tf.Tensor(20.425413, shape=(), dtype=float32)"
20,"tf.Tensor(20.0504, shape=(), dtype=float32)"
21,"tf.Tensor(18.966017, shape=(), dtype=float32)"
22,"tf.Tensor(19.253212, shape=(), dtype=float32)"
23,"tf.Tensor(18.007973, shape=(), dtype=float32)"
24,"tf.Tensor(18.174414, shape=(), dtype=float32)"
25,"tf.Tensor(17.21526, shape=(), dtype=float32)"
26,"tf.Tensor(16.84113, shape=(), dtype=float32)"
27,"tf.Tensor(16.330585, shape=(), dtype=float32)"
28,"tf.Tensor(16.067432, shape=(), dtype=float32)"
29,"tf.Tensor(15.438865, shape=(), dtype=float32)"
30,"tf.Tensor(14.976818, shape=(), dtype=float32)"
31,"tf.Tensor(14.989008, shape=(), dtype=float32)"
32,"tf.Tensor(14.218146, shape=(), dtype=float32)"
33,"tf.Tensor(13.868288, shape=(), dtype=float32)"
34,"tf.Tensor(13.585296, shape=(), dtype=float32)"
35,"tf.Tensor(12.875579, shape=(), dtype=float32)"
