step,train_loss
0,
1,"tf.Tensor(10.378715, shape=(), dtype=float32)"
2,"tf.Tensor(8.179427, shape=(), dtype=float32)"
3,"tf.Tensor(6.779917, shape=(), dtype=float32)"
4,"tf.Tensor(6.6411552, shape=(), dtype=float32)"
5,"tf.Tensor(6.277839, shape=(), dtype=float32)"
6,"tf.Tensor(6.837897, shape=(), dtype=float32)"
7,"tf.Tensor(6.739971, shape=(), dtype=float32)"
8,"tf.Tensor(6.880499, shape=(), dtype=float32)"
9,"tf.Tensor(9.14205, shape=(), dtype=float32)"
10,"tf.Tensor(7.201041, shape=(), dtype=float32)"
11,"tf.Tensor(7.5394673, shape=(), dtype=float32)"
12,"tf.Tensor(8.675963, shape=(), dtype=float32)"
13,"tf.Tensor(6.9621477, shape=(), dtype=float32)"
14,"tf.Tensor(8.560362, shape=(), dtype=float32)"
15,"tf.Tensor(8.068588, shape=(), dtype=float32)"
16,"tf.Tensor(8.188651, shape=(), dtype=float32)"
17,"tf.Tensor(7.506375, shape=(), dtype=float32)"
18,"tf.Tensor(7.032509, shape=(), dtype=float32)"
19,"tf.Tensor(7.0937915, shape=(), dtype=float32)"
20,"tf.Tensor(6.2110057, shape=(), dtype=float32)"
21,"tf.Tensor(6.462664, shape=(), dtype=float32)"
22,"tf.Tensor(6.841354, shape=(), dtype=float32)"
23,"tf.Tensor(6.608391, shape=(), dtype=float32)"
24,"tf.Tensor(6.5185366, shape=(), dtype=float32)"
25,"tf.Tensor(6.132137, shape=(), dtype=float32)"
26,"tf.Tensor(6.4671245, shape=(), dtype=float32)"
27,"tf.Tensor(7.119776, shape=(), dtype=float32)"
28,"tf.Tensor(6.679056, shape=(), dtype=float32)"
29,"tf.Tensor(5.995028, shape=(), dtype=float32)"
30,"tf.Tensor(6.78945, shape=(), dtype=float32)"
31,"tf.Tensor(7.570909, shape=(), dtype=float32)"
32,"tf.Tensor(8.070537, shape=(), dtype=float32)"
33,"tf.Tensor(6.907905, shape=(), dtype=float32)"
34,"tf.Tensor(6.423569, shape=(), dtype=float32)"
35,"tf.Tensor(6.6235747, shape=(), dtype=float32)"
36,"tf.Tensor(6.7000666, shape=(), dtype=float32)"
37,"tf.Tensor(6.3843975, shape=(), dtype=float32)"
38,"tf.Tensor(5.6878657, shape=(), dtype=float32)"
39,"tf.Tensor(6.9450593, shape=(), dtype=float32)"
40,"tf.Tensor(5.9999924, shape=(), dtype=float32)"
41,"tf.Tensor(6.5244994, shape=(), dtype=float32)"
42,"tf.Tensor(6.5466123, shape=(), dtype=float32)"
43,"tf.Tensor(6.8802876, shape=(), dtype=float32)"
44,"tf.Tensor(7.444611, shape=(), dtype=float32)"
45,"tf.Tensor(6.3742476, shape=(), dtype=float32)"
46,"tf.Tensor(6.039508, shape=(), dtype=float32)"
47,"tf.Tensor(6.780266, shape=(), dtype=float32)"
48,"tf.Tensor(5.369033, shape=(), dtype=float32)"
49,"tf.Tensor(6.8750153, shape=(), dtype=float32)"
50,"tf.Tensor(6.592113, shape=(), dtype=float32)"
51,"tf.Tensor(7.1551957, shape=(), dtype=float32)"
52,"tf.Tensor(6.023814, shape=(), dtype=float32)"
53,"tf.Tensor(6.793372, shape=(), dtype=float32)"
54,"tf.Tensor(6.0320306, shape=(), dtype=float32)"
55,"tf.Tensor(7.214074, shape=(), dtype=float32)"
56,"tf.Tensor(6.0945225, shape=(), dtype=float32)"
57,"tf.Tensor(7.6315355, shape=(), dtype=float32)"
58,"tf.Tensor(6.5206304, shape=(), dtype=float32)"
59,"tf.Tensor(6.8714247, shape=(), dtype=float32)"
60,"tf.Tensor(6.7320614, shape=(), dtype=float32)"
61,"tf.Tensor(6.727628, shape=(), dtype=float32)"
62,"tf.Tensor(6.9689956, shape=(), dtype=float32)"
63,"tf.Tensor(6.0172696, shape=(), dtype=float32)"
64,"tf.Tensor(5.7257743, shape=(), dtype=float32)"
65,"tf.Tensor(6.2181525, shape=(), dtype=float32)"
66,"tf.Tensor(6.9426937, shape=(), dtype=float32)"
67,"tf.Tensor(6.1802425, shape=(), dtype=float32)"
68,"tf.Tensor(6.187805, shape=(), dtype=float32)"
69,"tf.Tensor(6.830961, shape=(), dtype=float32)"
70,"tf.Tensor(6.43611, shape=(), dtype=float32)"
71,"tf.Tensor(7.330167, shape=(), dtype=float32)"
72,"tf.Tensor(5.866003, shape=(), dtype=float32)"
73,"tf.Tensor(6.05885, shape=(), dtype=float32)"
74,"tf.Tensor(5.8196936, shape=(), dtype=float32)"
75,"tf.Tensor(6.2412825, shape=(), dtype=float32)"
76,"tf.Tensor(6.7287393, shape=(), dtype=float32)"
77,"tf.Tensor(6.027029, shape=(), dtype=float32)"
78,"tf.Tensor(6.592425, shape=(), dtype=float32)"
79,"tf.Tensor(6.6822906, shape=(), dtype=float32)"
80,"tf.Tensor(6.9679155, shape=(), dtype=float32)"
81,"tf.Tensor(6.308193, shape=(), dtype=float32)"
82,"tf.Tensor(6.3971133, shape=(), dtype=float32)"
83,"tf.Tensor(6.3337307, shape=(), dtype=float32)"
84,"tf.Tensor(6.6257496, shape=(), dtype=float32)"
85,"tf.Tensor(5.862794, shape=(), dtype=float32)"
