step,train_loss
0,
1,"tf.Tensor(7.390563, shape=(), dtype=float32)"
2,"tf.Tensor(4.4909563, shape=(), dtype=float32)"
3,"tf.Tensor(4.229948, shape=(), dtype=float32)"
4,"tf.Tensor(4.3361597, shape=(), dtype=float32)"
5,"tf.Tensor(5.3463144, shape=(), dtype=float32)"
6,"tf.Tensor(7.6414742, shape=(), dtype=float32)"
7,"tf.Tensor(9.418458, shape=(), dtype=float32)"
8,"tf.Tensor(9.743798, shape=(), dtype=float32)"
9,"tf.Tensor(8.71262, shape=(), dtype=float32)"
10,"tf.Tensor(7.100534, shape=(), dtype=float32)"
11,"tf.Tensor(6.560207, shape=(), dtype=float32)"
12,"tf.Tensor(7.4221673, shape=(), dtype=float32)"
13,"tf.Tensor(6.9798145, shape=(), dtype=float32)"
14,"tf.Tensor(7.3520865, shape=(), dtype=float32)"
15,"tf.Tensor(7.290762, shape=(), dtype=float32)"
16,"tf.Tensor(6.780721, shape=(), dtype=float32)"
17,"tf.Tensor(7.452329, shape=(), dtype=float32)"
18,"tf.Tensor(7.218537, shape=(), dtype=float32)"
19,"tf.Tensor(6.867326, shape=(), dtype=float32)"
20,"tf.Tensor(7.669141, shape=(), dtype=float32)"
21,"tf.Tensor(7.0214, shape=(), dtype=float32)"
22,"tf.Tensor(7.0178847, shape=(), dtype=float32)"
23,"tf.Tensor(7.338788, shape=(), dtype=float32)"
24,"tf.Tensor(6.8892155, shape=(), dtype=float32)"
25,"tf.Tensor(8.244992, shape=(), dtype=float32)"
26,"tf.Tensor(6.6533823, shape=(), dtype=float32)"
27,"tf.Tensor(7.334982, shape=(), dtype=float32)"
28,"tf.Tensor(7.161795, shape=(), dtype=float32)"
29,"tf.Tensor(8.197006, shape=(), dtype=float32)"
30,"tf.Tensor(7.1261783, shape=(), dtype=float32)"
31,"tf.Tensor(6.648693, shape=(), dtype=float32)"
32,"tf.Tensor(7.5511684, shape=(), dtype=float32)"
33,"tf.Tensor(7.2502832, shape=(), dtype=float32)"
34,"tf.Tensor(7.65941, shape=(), dtype=float32)"
35,"tf.Tensor(8.92493, shape=(), dtype=float32)"
36,"tf.Tensor(6.950906, shape=(), dtype=float32)"
37,"tf.Tensor(7.19777, shape=(), dtype=float32)"
38,"tf.Tensor(6.9717784, shape=(), dtype=float32)"
39,"tf.Tensor(7.8329363, shape=(), dtype=float32)"
40,"tf.Tensor(8.0893345, shape=(), dtype=float32)"
41,"tf.Tensor(7.453195, shape=(), dtype=float32)"
42,"tf.Tensor(7.4715724, shape=(), dtype=float32)"
43,"tf.Tensor(7.6934295, shape=(), dtype=float32)"
44,"tf.Tensor(8.337043, shape=(), dtype=float32)"
45,"tf.Tensor(7.460652, shape=(), dtype=float32)"
46,"tf.Tensor(9.100404, shape=(), dtype=float32)"
47,"tf.Tensor(8.324754, shape=(), dtype=float32)"
48,"tf.Tensor(9.271103, shape=(), dtype=float32)"
49,"tf.Tensor(6.8471437, shape=(), dtype=float32)"
50,"tf.Tensor(7.738356, shape=(), dtype=float32)"
51,"tf.Tensor(8.146658, shape=(), dtype=float32)"
52,"tf.Tensor(8.764292, shape=(), dtype=float32)"
53,"tf.Tensor(8.401203, shape=(), dtype=float32)"
54,"tf.Tensor(8.770791, shape=(), dtype=float32)"
55,"tf.Tensor(8.870199, shape=(), dtype=float32)"
56,"tf.Tensor(7.648228, shape=(), dtype=float32)"
57,"tf.Tensor(7.060519, shape=(), dtype=float32)"
58,"tf.Tensor(7.918486, shape=(), dtype=float32)"
