step,avg_reward
0,-207.45457
1,-208.37926
2,-209.8082
3,-210.93988
4,-210.53627
5,-211.51338
6,-211.83636
7,-212.49733
8,-211.94568
9,-212.08574
10,-211.43806
11,-211.13222
12,-212.40453
13,-212.34822
14,-213.77678
15,-212.74165
16,-212.60199
17,-212.53021
18,-212.1513
19,-212.70865
20,-213.37267
21,-210.95468
22,-211.49199
23,-212.00816
24,-211.84448
25,-211.56984
26,-213.9175
27,-212.47849
28,-211.47426
29,-211.77647
30,-211.78593
31,-210.84213
32,-212.45615
33,-211.65282
34,-212.60558
35,-212.93015
36,-212.34421
