step,avg_reward
0,-202.632
1,-200.2359
2,-200.41833
3,-196.47345
4,-196.6044
5,-193.68935
6,-194.57388
7,-193.31711
8,-193.02399
9,-192.59726
10,-192.62456
11,-191.69948
12,-192.74072
13,-193.56012
14,-193.20683
15,-193.51077
16,-192.25421
17,-192.88356
18,-192.77678
19,-193.311
20,-191.4011
