step,train_loss0,train_loss1,train_loss2,train_loss_coordintae
0,,,,
1,13.519065,5.994123,8.156848,22.590815
2,10.731277,7.7334304,12.15765,19.934975
3,10.67753,7.9972005,7.146416,26.929531
4,8.791301,7.302282,6.891014,19.10536
5,9.462048,7.9596124,5.3922644,17.230001
