step,train_loss
0,
1,"tf.Tensor(18.171255, shape=(), dtype=float32)"
2,"tf.Tensor(7.890481, shape=(), dtype=float32)"
3,"tf.Tensor(9.556766, shape=(), dtype=float32)"
4,"tf.Tensor(6.956893, shape=(), dtype=float32)"
5,"tf.Tensor(7.9172235, shape=(), dtype=float32)"
6,"tf.Tensor(6.9503303, shape=(), dtype=float32)"
7,"tf.Tensor(7.826341, shape=(), dtype=float32)"
8,"tf.Tensor(7.21749, shape=(), dtype=float32)"
9,"tf.Tensor(8.668188, shape=(), dtype=float32)"
10,"tf.Tensor(7.9645305, shape=(), dtype=float32)"
11,"tf.Tensor(8.401892, shape=(), dtype=float32)"
12,"tf.Tensor(8.062642, shape=(), dtype=float32)"
13,"tf.Tensor(8.11702, shape=(), dtype=float32)"
14,"tf.Tensor(7.714851, shape=(), dtype=float32)"
15,"tf.Tensor(7.9517107, shape=(), dtype=float32)"
16,"tf.Tensor(8.742743, shape=(), dtype=float32)"
17,"tf.Tensor(9.042183, shape=(), dtype=float32)"
18,"tf.Tensor(10.111343, shape=(), dtype=float32)"
19,"tf.Tensor(8.732657, shape=(), dtype=float32)"
20,"tf.Tensor(7.492583, shape=(), dtype=float32)"
21,"tf.Tensor(8.391032, shape=(), dtype=float32)"
22,"tf.Tensor(8.451457, shape=(), dtype=float32)"
23,"tf.Tensor(9.359063, shape=(), dtype=float32)"
24,"tf.Tensor(9.195598, shape=(), dtype=float32)"
25,"tf.Tensor(8.461023, shape=(), dtype=float32)"
26,"tf.Tensor(7.8436003, shape=(), dtype=float32)"
27,"tf.Tensor(8.72743, shape=(), dtype=float32)"
28,"tf.Tensor(9.312101, shape=(), dtype=float32)"
29,"tf.Tensor(8.673526, shape=(), dtype=float32)"
30,"tf.Tensor(9.287745, shape=(), dtype=float32)"
31,"tf.Tensor(8.105438, shape=(), dtype=float32)"
32,"tf.Tensor(9.002303, shape=(), dtype=float32)"
33,"tf.Tensor(8.155362, shape=(), dtype=float32)"
34,"tf.Tensor(8.7346735, shape=(), dtype=float32)"
35,"tf.Tensor(7.617731, shape=(), dtype=float32)"
36,"tf.Tensor(7.884616, shape=(), dtype=float32)"
37,"tf.Tensor(9.152437, shape=(), dtype=float32)"
38,"tf.Tensor(7.8666773, shape=(), dtype=float32)"
39,"tf.Tensor(7.687001, shape=(), dtype=float32)"
40,"tf.Tensor(7.3308287, shape=(), dtype=float32)"
41,"tf.Tensor(8.758238, shape=(), dtype=float32)"
42,"tf.Tensor(9.652594, shape=(), dtype=float32)"
43,"tf.Tensor(8.01909, shape=(), dtype=float32)"
44,"tf.Tensor(8.319178, shape=(), dtype=float32)"
45,"tf.Tensor(7.575879, shape=(), dtype=float32)"
46,"tf.Tensor(7.981748, shape=(), dtype=float32)"
47,"tf.Tensor(7.953845, shape=(), dtype=float32)"
48,"tf.Tensor(8.791818, shape=(), dtype=float32)"
49,"tf.Tensor(7.3637075, shape=(), dtype=float32)"
50,"tf.Tensor(8.529816, shape=(), dtype=float32)"
51,"tf.Tensor(7.969891, shape=(), dtype=float32)"
52,"tf.Tensor(8.831385, shape=(), dtype=float32)"
53,"tf.Tensor(8.957046, shape=(), dtype=float32)"
54,"tf.Tensor(7.920972, shape=(), dtype=float32)"
55,"tf.Tensor(7.999635, shape=(), dtype=float32)"
56,"tf.Tensor(9.684576, shape=(), dtype=float32)"
57,"tf.Tensor(9.404205, shape=(), dtype=float32)"
58,"tf.Tensor(7.6902213, shape=(), dtype=float32)"
59,"tf.Tensor(7.936299, shape=(), dtype=float32)"
60,"tf.Tensor(9.730439, shape=(), dtype=float32)"
61,"tf.Tensor(9.213428, shape=(), dtype=float32)"
62,"tf.Tensor(7.6181626, shape=(), dtype=float32)"
63,"tf.Tensor(7.130428, shape=(), dtype=float32)"
64,"tf.Tensor(8.614176, shape=(), dtype=float32)"
65,"tf.Tensor(7.726234, shape=(), dtype=float32)"
66,"tf.Tensor(9.070815, shape=(), dtype=float32)"
67,"tf.Tensor(8.753657, shape=(), dtype=float32)"
68,"tf.Tensor(7.259414, shape=(), dtype=float32)"
69,"tf.Tensor(7.0282764, shape=(), dtype=float32)"
70,"tf.Tensor(7.989692, shape=(), dtype=float32)"
71,"tf.Tensor(9.036407, shape=(), dtype=float32)"
72,"tf.Tensor(7.9408317, shape=(), dtype=float32)"
73,"tf.Tensor(8.87083, shape=(), dtype=float32)"
74,"tf.Tensor(9.103433, shape=(), dtype=float32)"
75,"tf.Tensor(8.529113, shape=(), dtype=float32)"
76,"tf.Tensor(9.45637, shape=(), dtype=float32)"
77,"tf.Tensor(7.3967066, shape=(), dtype=float32)"
78,"tf.Tensor(8.734693, shape=(), dtype=float32)"
79,"tf.Tensor(7.5939517, shape=(), dtype=float32)"
80,"tf.Tensor(9.853241, shape=(), dtype=float32)"
81,"tf.Tensor(9.173681, shape=(), dtype=float32)"
82,"tf.Tensor(8.742693, shape=(), dtype=float32)"
83,"tf.Tensor(8.527022, shape=(), dtype=float32)"
84,"tf.Tensor(8.29977, shape=(), dtype=float32)"
85,"tf.Tensor(8.903672, shape=(), dtype=float32)"
86,"tf.Tensor(7.343986, shape=(), dtype=float32)"
87,"tf.Tensor(7.6426935, shape=(), dtype=float32)"
88,"tf.Tensor(6.468921, shape=(), dtype=float32)"
89,"tf.Tensor(7.8475733, shape=(), dtype=float32)"
90,"tf.Tensor(9.65812, shape=(), dtype=float32)"
91,"tf.Tensor(8.582855, shape=(), dtype=float32)"
92,"tf.Tensor(8.7937155, shape=(), dtype=float32)"
93,"tf.Tensor(7.6546364, shape=(), dtype=float32)"
94,"tf.Tensor(9.635534, shape=(), dtype=float32)"
95,"tf.Tensor(8.178406, shape=(), dtype=float32)"
96,"tf.Tensor(7.641151, shape=(), dtype=float32)"
97,"tf.Tensor(8.223786, shape=(), dtype=float32)"
98,"tf.Tensor(8.731442, shape=(), dtype=float32)"
99,"tf.Tensor(7.3868294, shape=(), dtype=float32)"
100,"tf.Tensor(9.057076, shape=(), dtype=float32)"
