step,train_loss
0,
1,"tf.Tensor(4.733824, shape=(), dtype=float32)"
2,"tf.Tensor(5.422861, shape=(), dtype=float32)"
3,"tf.Tensor(3.8200972, shape=(), dtype=float32)"
4,"tf.Tensor(4.0675335, shape=(), dtype=float32)"
5,"tf.Tensor(5.0596437, shape=(), dtype=float32)"
6,"tf.Tensor(8.089483, shape=(), dtype=float32)"
7,"tf.Tensor(8.188795, shape=(), dtype=float32)"
8,"tf.Tensor(8.602498, shape=(), dtype=float32)"
9,"tf.Tensor(8.424566, shape=(), dtype=float32)"
10,"tf.Tensor(8.288409, shape=(), dtype=float32)"
11,"tf.Tensor(8.619837, shape=(), dtype=float32)"
12,"tf.Tensor(8.132643, shape=(), dtype=float32)"
13,"tf.Tensor(8.168045, shape=(), dtype=float32)"
14,"tf.Tensor(8.246371, shape=(), dtype=float32)"
15,"tf.Tensor(7.850779, shape=(), dtype=float32)"
16,"tf.Tensor(7.6087217, shape=(), dtype=float32)"
17,"tf.Tensor(7.8544836, shape=(), dtype=float32)"
18,"tf.Tensor(7.054548, shape=(), dtype=float32)"
19,"tf.Tensor(6.8686795, shape=(), dtype=float32)"
20,"tf.Tensor(6.954502, shape=(), dtype=float32)"
21,"tf.Tensor(6.989405, shape=(), dtype=float32)"
22,"tf.Tensor(7.094215, shape=(), dtype=float32)"
23,"tf.Tensor(6.980114, shape=(), dtype=float32)"
24,"tf.Tensor(7.1654587, shape=(), dtype=float32)"
25,"tf.Tensor(7.6133494, shape=(), dtype=float32)"
26,"tf.Tensor(6.953719, shape=(), dtype=float32)"
27,"tf.Tensor(6.693453, shape=(), dtype=float32)"
28,"tf.Tensor(6.6563034, shape=(), dtype=float32)"
29,"tf.Tensor(6.734699, shape=(), dtype=float32)"
30,"tf.Tensor(6.9285903, shape=(), dtype=float32)"
31,"tf.Tensor(6.6774006, shape=(), dtype=float32)"
32,"tf.Tensor(6.509266, shape=(), dtype=float32)"
33,"tf.Tensor(7.0008903, shape=(), dtype=float32)"
34,"tf.Tensor(6.8871436, shape=(), dtype=float32)"
35,"tf.Tensor(6.374229, shape=(), dtype=float32)"
36,"tf.Tensor(7.0666075, shape=(), dtype=float32)"
37,"tf.Tensor(7.3627653, shape=(), dtype=float32)"
38,"tf.Tensor(7.1318955, shape=(), dtype=float32)"
39,"tf.Tensor(6.614171, shape=(), dtype=float32)"
40,"tf.Tensor(7.1773725, shape=(), dtype=float32)"
41,"tf.Tensor(7.102762, shape=(), dtype=float32)"
42,"tf.Tensor(6.5731983, shape=(), dtype=float32)"
43,"tf.Tensor(7.1560416, shape=(), dtype=float32)"
44,"tf.Tensor(7.9576735, shape=(), dtype=float32)"
45,"tf.Tensor(6.88103, shape=(), dtype=float32)"
46,"tf.Tensor(7.4665756, shape=(), dtype=float32)"
47,"tf.Tensor(7.3551316, shape=(), dtype=float32)"
48,"tf.Tensor(6.822539, shape=(), dtype=float32)"
49,"tf.Tensor(7.413506, shape=(), dtype=float32)"
50,"tf.Tensor(6.259153, shape=(), dtype=float32)"
51,"tf.Tensor(7.5133023, shape=(), dtype=float32)"
52,"tf.Tensor(6.2771616, shape=(), dtype=float32)"
53,"tf.Tensor(7.051539, shape=(), dtype=float32)"
54,"tf.Tensor(6.7298374, shape=(), dtype=float32)"
55,"tf.Tensor(6.8901734, shape=(), dtype=float32)"
56,"tf.Tensor(6.6617255, shape=(), dtype=float32)"
57,"tf.Tensor(7.6306396, shape=(), dtype=float32)"
58,"tf.Tensor(6.8241935, shape=(), dtype=float32)"
59,"tf.Tensor(7.2270784, shape=(), dtype=float32)"
60,"tf.Tensor(6.9276605, shape=(), dtype=float32)"
61,"tf.Tensor(7.4245167, shape=(), dtype=float32)"
62,"tf.Tensor(6.6836925, shape=(), dtype=float32)"
63,"tf.Tensor(7.2621946, shape=(), dtype=float32)"
64,"tf.Tensor(7.0924973, shape=(), dtype=float32)"
65,"tf.Tensor(6.889075, shape=(), dtype=float32)"
66,"tf.Tensor(7.57277, shape=(), dtype=float32)"
67,"tf.Tensor(7.690218, shape=(), dtype=float32)"
68,"tf.Tensor(6.4940767, shape=(), dtype=float32)"
69,"tf.Tensor(7.411246, shape=(), dtype=float32)"
70,"tf.Tensor(6.9514866, shape=(), dtype=float32)"
71,"tf.Tensor(7.251662, shape=(), dtype=float32)"
72,"tf.Tensor(6.6044292, shape=(), dtype=float32)"
73,"tf.Tensor(7.0432, shape=(), dtype=float32)"
74,"tf.Tensor(7.1733584, shape=(), dtype=float32)"
75,"tf.Tensor(7.3788543, shape=(), dtype=float32)"
