step,train_loss
0,
1,"tf.Tensor(12.348469, shape=(), dtype=float32)"
2,"tf.Tensor(5.6087017, shape=(), dtype=float32)"
3,"tf.Tensor(5.5747066, shape=(), dtype=float32)"
4,"tf.Tensor(5.9158936, shape=(), dtype=float32)"
5,"tf.Tensor(9.641699, shape=(), dtype=float32)"
6,"tf.Tensor(5.621733, shape=(), dtype=float32)"
7,"tf.Tensor(5.6879854, shape=(), dtype=float32)"
8,"tf.Tensor(5.6278954, shape=(), dtype=float32)"
9,"tf.Tensor(5.673455, shape=(), dtype=float32)"
10,"tf.Tensor(5.6209316, shape=(), dtype=float32)"
11,"tf.Tensor(5.718601, shape=(), dtype=float32)"
12,"tf.Tensor(5.6306067, shape=(), dtype=float32)"
13,"tf.Tensor(5.553966, shape=(), dtype=float32)"
14,"tf.Tensor(5.72709, shape=(), dtype=float32)"
15,"tf.Tensor(5.6893067, shape=(), dtype=float32)"
16,"tf.Tensor(5.756114, shape=(), dtype=float32)"
17,"tf.Tensor(5.6330175, shape=(), dtype=float32)"
18,"tf.Tensor(5.725206, shape=(), dtype=float32)"
19,"tf.Tensor(5.755439, shape=(), dtype=float32)"
20,"tf.Tensor(5.7235975, shape=(), dtype=float32)"
21,"tf.Tensor(5.795713, shape=(), dtype=float32)"
22,"tf.Tensor(5.4989295, shape=(), dtype=float32)"
23,"tf.Tensor(5.6915317, shape=(), dtype=float32)"
24,"tf.Tensor(5.7714944, shape=(), dtype=float32)"
25,"tf.Tensor(5.6924233, shape=(), dtype=float32)"
26,"tf.Tensor(5.8397617, shape=(), dtype=float32)"
27,"tf.Tensor(5.714325, shape=(), dtype=float32)"
28,"tf.Tensor(5.6268106, shape=(), dtype=float32)"
29,"tf.Tensor(5.704694, shape=(), dtype=float32)"
30,"tf.Tensor(5.630153, shape=(), dtype=float32)"
31,"tf.Tensor(5.693657, shape=(), dtype=float32)"
32,"tf.Tensor(5.721576, shape=(), dtype=float32)"
33,"tf.Tensor(5.6196575, shape=(), dtype=float32)"
34,"tf.Tensor(5.658295, shape=(), dtype=float32)"
35,"tf.Tensor(5.7786183, shape=(), dtype=float32)"
36,"tf.Tensor(5.6635275, shape=(), dtype=float32)"
37,"tf.Tensor(5.6801577, shape=(), dtype=float32)"
38,"tf.Tensor(5.6183553, shape=(), dtype=float32)"
39,"tf.Tensor(5.741005, shape=(), dtype=float32)"
40,"tf.Tensor(5.8676085, shape=(), dtype=float32)"
41,"tf.Tensor(5.6798363, shape=(), dtype=float32)"
42,"tf.Tensor(5.7870636, shape=(), dtype=float32)"
43,"tf.Tensor(5.716844, shape=(), dtype=float32)"
44,"tf.Tensor(5.75734, shape=(), dtype=float32)"
45,"tf.Tensor(5.658124, shape=(), dtype=float32)"
46,"tf.Tensor(5.7469616, shape=(), dtype=float32)"
47,"tf.Tensor(5.6116996, shape=(), dtype=float32)"
48,"tf.Tensor(5.6848454, shape=(), dtype=float32)"
49,"tf.Tensor(5.737275, shape=(), dtype=float32)"
50,"tf.Tensor(5.830836, shape=(), dtype=float32)"
51,"tf.Tensor(5.7370925, shape=(), dtype=float32)"
52,"tf.Tensor(5.7070227, shape=(), dtype=float32)"
53,"tf.Tensor(5.8034315, shape=(), dtype=float32)"
54,"tf.Tensor(5.858523, shape=(), dtype=float32)"
55,"tf.Tensor(5.7103753, shape=(), dtype=float32)"
