step,train_loss
0,
1,"tf.Tensor(5.282051, shape=(), dtype=float32)"
2,"tf.Tensor(7.5722704, shape=(), dtype=float32)"
3,"tf.Tensor(8.293149, shape=(), dtype=float32)"
4,"tf.Tensor(8.277847, shape=(), dtype=float32)"
5,"tf.Tensor(9.18481, shape=(), dtype=float32)"
6,"tf.Tensor(8.118923, shape=(), dtype=float32)"
7,"tf.Tensor(8.192888, shape=(), dtype=float32)"
8,"tf.Tensor(7.316229, shape=(), dtype=float32)"
9,"tf.Tensor(7.442222, shape=(), dtype=float32)"
10,"tf.Tensor(7.7360077, shape=(), dtype=float32)"
11,"tf.Tensor(7.065424, shape=(), dtype=float32)"
12,"tf.Tensor(6.9490523, shape=(), dtype=float32)"
13,"tf.Tensor(6.9207997, shape=(), dtype=float32)"
14,"tf.Tensor(6.872288, shape=(), dtype=float32)"
15,"tf.Tensor(7.0458097, shape=(), dtype=float32)"
16,"tf.Tensor(6.8171234, shape=(), dtype=float32)"
17,"tf.Tensor(6.8896303, shape=(), dtype=float32)"
18,"tf.Tensor(7.4194775, shape=(), dtype=float32)"
19,"tf.Tensor(6.821934, shape=(), dtype=float32)"
20,"tf.Tensor(7.001239, shape=(), dtype=float32)"
21,"tf.Tensor(6.4365034, shape=(), dtype=float32)"
22,"tf.Tensor(6.5533934, shape=(), dtype=float32)"
23,"tf.Tensor(6.6648326, shape=(), dtype=float32)"
24,"tf.Tensor(6.970568, shape=(), dtype=float32)"
25,"tf.Tensor(7.224995, shape=(), dtype=float32)"
26,"tf.Tensor(6.823033, shape=(), dtype=float32)"
27,"tf.Tensor(6.6452374, shape=(), dtype=float32)"
28,"tf.Tensor(6.5073237, shape=(), dtype=float32)"
29,"tf.Tensor(7.1170793, shape=(), dtype=float32)"
30,"tf.Tensor(7.0055313, shape=(), dtype=float32)"
31,"tf.Tensor(7.322503, shape=(), dtype=float32)"
32,"tf.Tensor(6.82962, shape=(), dtype=float32)"
33,"tf.Tensor(6.8082333, shape=(), dtype=float32)"
34,"tf.Tensor(6.969951, shape=(), dtype=float32)"
35,"tf.Tensor(6.999848, shape=(), dtype=float32)"
36,"tf.Tensor(6.3085537, shape=(), dtype=float32)"
37,"tf.Tensor(6.2707806, shape=(), dtype=float32)"
38,"tf.Tensor(6.227361, shape=(), dtype=float32)"
39,"tf.Tensor(7.332849, shape=(), dtype=float32)"
40,"tf.Tensor(6.9802017, shape=(), dtype=float32)"
41,"tf.Tensor(7.270373, shape=(), dtype=float32)"
42,"tf.Tensor(6.6389265, shape=(), dtype=float32)"
43,"tf.Tensor(6.482517, shape=(), dtype=float32)"
44,"tf.Tensor(6.5426593, shape=(), dtype=float32)"
45,"tf.Tensor(8.263536, shape=(), dtype=float32)"
46,"tf.Tensor(7.9773893, shape=(), dtype=float32)"
47,"tf.Tensor(6.99396, shape=(), dtype=float32)"
48,"tf.Tensor(7.90736, shape=(), dtype=float32)"
49,"tf.Tensor(6.6421437, shape=(), dtype=float32)"
50,"tf.Tensor(6.8345933, shape=(), dtype=float32)"
51,"tf.Tensor(7.0227776, shape=(), dtype=float32)"
52,"tf.Tensor(6.659463, shape=(), dtype=float32)"
53,"tf.Tensor(6.9889846, shape=(), dtype=float32)"
54,"tf.Tensor(6.840303, shape=(), dtype=float32)"
55,"tf.Tensor(7.2969913, shape=(), dtype=float32)"
56,"tf.Tensor(6.5057054, shape=(), dtype=float32)"
57,"tf.Tensor(6.8079414, shape=(), dtype=float32)"
58,"tf.Tensor(7.3114486, shape=(), dtype=float32)"
59,"tf.Tensor(6.80762, shape=(), dtype=float32)"
60,"tf.Tensor(6.864742, shape=(), dtype=float32)"
61,"tf.Tensor(6.9224234, shape=(), dtype=float32)"
62,"tf.Tensor(6.962098, shape=(), dtype=float32)"
63,"tf.Tensor(6.6371136, shape=(), dtype=float32)"
64,"tf.Tensor(6.028446, shape=(), dtype=float32)"
65,"tf.Tensor(6.611263, shape=(), dtype=float32)"
66,"tf.Tensor(6.731116, shape=(), dtype=float32)"
67,"tf.Tensor(6.650778, shape=(), dtype=float32)"
68,"tf.Tensor(7.27629, shape=(), dtype=float32)"
69,"tf.Tensor(6.5966187, shape=(), dtype=float32)"
70,"tf.Tensor(6.6082916, shape=(), dtype=float32)"
71,"tf.Tensor(6.178427, shape=(), dtype=float32)"
72,"tf.Tensor(6.5600834, shape=(), dtype=float32)"
73,"tf.Tensor(6.5969343, shape=(), dtype=float32)"
74,"tf.Tensor(7.396436, shape=(), dtype=float32)"
75,"tf.Tensor(6.8583755, shape=(), dtype=float32)"
76,"tf.Tensor(6.6633077, shape=(), dtype=float32)"
77,"tf.Tensor(6.7741885, shape=(), dtype=float32)"
78,"tf.Tensor(6.908058, shape=(), dtype=float32)"
79,"tf.Tensor(7.1852264, shape=(), dtype=float32)"
80,"tf.Tensor(6.7475963, shape=(), dtype=float32)"
81,"tf.Tensor(7.792743, shape=(), dtype=float32)"
82,"tf.Tensor(7.257875, shape=(), dtype=float32)"
83,"tf.Tensor(6.650393, shape=(), dtype=float32)"
84,"tf.Tensor(6.716538, shape=(), dtype=float32)"
85,"tf.Tensor(6.7953978, shape=(), dtype=float32)"
86,"tf.Tensor(6.7809463, shape=(), dtype=float32)"
87,"tf.Tensor(6.7150555, shape=(), dtype=float32)"
88,"tf.Tensor(6.737034, shape=(), dtype=float32)"
