step,train_loss
0,
1,"tf.Tensor(12.0347185, shape=(), dtype=float32)"
2,"tf.Tensor(9.286797, shape=(), dtype=float32)"
3,"tf.Tensor(8.934278, shape=(), dtype=float32)"
4,"tf.Tensor(8.85648, shape=(), dtype=float32)"
5,"tf.Tensor(7.7494183, shape=(), dtype=float32)"
6,"tf.Tensor(8.13546, shape=(), dtype=float32)"
7,"tf.Tensor(7.44646, shape=(), dtype=float32)"
8,"tf.Tensor(7.454347, shape=(), dtype=float32)"
9,"tf.Tensor(10.002789, shape=(), dtype=float32)"
10,"tf.Tensor(8.177304, shape=(), dtype=float32)"
11,"tf.Tensor(10.027896, shape=(), dtype=float32)"
12,"tf.Tensor(8.473303, shape=(), dtype=float32)"
13,"tf.Tensor(8.557825, shape=(), dtype=float32)"
14,"tf.Tensor(9.714419, shape=(), dtype=float32)"
15,"tf.Tensor(8.071606, shape=(), dtype=float32)"
16,"tf.Tensor(8.663771, shape=(), dtype=float32)"
17,"tf.Tensor(7.8795996, shape=(), dtype=float32)"
18,"tf.Tensor(9.398728, shape=(), dtype=float32)"
19,"tf.Tensor(8.222462, shape=(), dtype=float32)"
20,"tf.Tensor(8.220726, shape=(), dtype=float32)"
21,"tf.Tensor(11.219669, shape=(), dtype=float32)"
22,"tf.Tensor(7.9782543, shape=(), dtype=float32)"
23,"tf.Tensor(10.385618, shape=(), dtype=float32)"
24,"tf.Tensor(9.141899, shape=(), dtype=float32)"
25,"tf.Tensor(9.505008, shape=(), dtype=float32)"
26,"tf.Tensor(10.156636, shape=(), dtype=float32)"
27,"tf.Tensor(7.8127985, shape=(), dtype=float32)"
28,"tf.Tensor(8.333712, shape=(), dtype=float32)"
29,"tf.Tensor(9.870255, shape=(), dtype=float32)"
30,"tf.Tensor(9.276042, shape=(), dtype=float32)"
31,"tf.Tensor(8.389965, shape=(), dtype=float32)"
32,"tf.Tensor(9.0337305, shape=(), dtype=float32)"
33,"tf.Tensor(9.375613, shape=(), dtype=float32)"
34,"tf.Tensor(7.9176097, shape=(), dtype=float32)"
35,"tf.Tensor(7.9608774, shape=(), dtype=float32)"
36,"tf.Tensor(10.58251, shape=(), dtype=float32)"
37,"tf.Tensor(8.541165, shape=(), dtype=float32)"
38,"tf.Tensor(8.3146715, shape=(), dtype=float32)"
39,"tf.Tensor(7.307089, shape=(), dtype=float32)"
40,"tf.Tensor(8.818042, shape=(), dtype=float32)"
41,"tf.Tensor(8.686272, shape=(), dtype=float32)"
42,"tf.Tensor(9.429748, shape=(), dtype=float32)"
43,"tf.Tensor(8.593129, shape=(), dtype=float32)"
44,"tf.Tensor(9.751584, shape=(), dtype=float32)"
45,"tf.Tensor(9.960049, shape=(), dtype=float32)"
46,"tf.Tensor(8.943306, shape=(), dtype=float32)"
47,"tf.Tensor(10.679063, shape=(), dtype=float32)"
48,"tf.Tensor(9.071735, shape=(), dtype=float32)"
49,"tf.Tensor(9.127385, shape=(), dtype=float32)"
50,"tf.Tensor(9.317147, shape=(), dtype=float32)"
51,"tf.Tensor(9.427798, shape=(), dtype=float32)"
52,"tf.Tensor(10.050062, shape=(), dtype=float32)"
53,"tf.Tensor(8.602642, shape=(), dtype=float32)"
54,"tf.Tensor(9.435555, shape=(), dtype=float32)"
55,"tf.Tensor(8.000552, shape=(), dtype=float32)"
56,"tf.Tensor(9.215431, shape=(), dtype=float32)"
57,"tf.Tensor(9.463259, shape=(), dtype=float32)"
58,"tf.Tensor(8.037284, shape=(), dtype=float32)"
59,"tf.Tensor(9.445083, shape=(), dtype=float32)"
60,"tf.Tensor(10.022736, shape=(), dtype=float32)"
61,"tf.Tensor(8.288017, shape=(), dtype=float32)"
62,"tf.Tensor(10.027046, shape=(), dtype=float32)"
63,"tf.Tensor(8.233218, shape=(), dtype=float32)"
64,"tf.Tensor(8.604962, shape=(), dtype=float32)"
65,"tf.Tensor(8.549378, shape=(), dtype=float32)"
66,"tf.Tensor(8.810144, shape=(), dtype=float32)"
67,"tf.Tensor(10.032943, shape=(), dtype=float32)"
68,"tf.Tensor(9.701889, shape=(), dtype=float32)"
69,"tf.Tensor(8.696597, shape=(), dtype=float32)"
70,"tf.Tensor(8.175428, shape=(), dtype=float32)"
71,"tf.Tensor(6.9971566, shape=(), dtype=float32)"
72,"tf.Tensor(8.342259, shape=(), dtype=float32)"
73,"tf.Tensor(9.640733, shape=(), dtype=float32)"
74,"tf.Tensor(9.624079, shape=(), dtype=float32)"
75,"tf.Tensor(8.351813, shape=(), dtype=float32)"
76,"tf.Tensor(8.762889, shape=(), dtype=float32)"
77,"tf.Tensor(9.604688, shape=(), dtype=float32)"
78,"tf.Tensor(8.287761, shape=(), dtype=float32)"
79,"tf.Tensor(9.483088, shape=(), dtype=float32)"
80,"tf.Tensor(9.652616, shape=(), dtype=float32)"
81,"tf.Tensor(8.8087225, shape=(), dtype=float32)"
82,"tf.Tensor(8.990236, shape=(), dtype=float32)"
83,"tf.Tensor(8.028693, shape=(), dtype=float32)"
84,"tf.Tensor(10.23679, shape=(), dtype=float32)"
85,"tf.Tensor(7.9348845, shape=(), dtype=float32)"
86,"tf.Tensor(8.770869, shape=(), dtype=float32)"
87,"tf.Tensor(9.11405, shape=(), dtype=float32)"
88,"tf.Tensor(8.356763, shape=(), dtype=float32)"
89,"tf.Tensor(8.797466, shape=(), dtype=float32)"
90,"tf.Tensor(9.966489, shape=(), dtype=float32)"
91,"tf.Tensor(9.898974, shape=(), dtype=float32)"
92,"tf.Tensor(9.572424, shape=(), dtype=float32)"
93,"tf.Tensor(8.824822, shape=(), dtype=float32)"
94,"tf.Tensor(9.34813, shape=(), dtype=float32)"
95,"tf.Tensor(9.403144, shape=(), dtype=float32)"
96,"tf.Tensor(9.358836, shape=(), dtype=float32)"
97,"tf.Tensor(9.656186, shape=(), dtype=float32)"
98,"tf.Tensor(9.460769, shape=(), dtype=float32)"
99,"tf.Tensor(9.077337, shape=(), dtype=float32)"
100,"tf.Tensor(9.064746, shape=(), dtype=float32)"
