step,train_loss
0,
1,"tf.Tensor(5.6101303, shape=(), dtype=float32)"
2,"tf.Tensor(4.8732295, shape=(), dtype=float32)"
3,"tf.Tensor(2.0098999, shape=(), dtype=float32)"
4,"tf.Tensor(6.353937, shape=(), dtype=float32)"
5,"tf.Tensor(1.178235, shape=(), dtype=float32)"
6,"tf.Tensor(2.6392167, shape=(), dtype=float32)"
7,"tf.Tensor(4.0485635, shape=(), dtype=float32)"
8,"tf.Tensor(4.5761433, shape=(), dtype=float32)"
9,"tf.Tensor(4.8384533, shape=(), dtype=float32)"
10,"tf.Tensor(4.9773397, shape=(), dtype=float32)"
11,"tf.Tensor(5.0401316, shape=(), dtype=float32)"
12,"tf.Tensor(4.8312774, shape=(), dtype=float32)"
13,"tf.Tensor(4.743714, shape=(), dtype=float32)"
14,"tf.Tensor(4.6596394, shape=(), dtype=float32)"
15,"tf.Tensor(4.31468, shape=(), dtype=float32)"
16,"tf.Tensor(3.8728135, shape=(), dtype=float32)"
17,"tf.Tensor(3.006204, shape=(), dtype=float32)"
18,"tf.Tensor(1.3999711, shape=(), dtype=float32)"
19,"tf.Tensor(1.2609278, shape=(), dtype=float32)"
20,"tf.Tensor(2.5251899, shape=(), dtype=float32)"
21,"tf.Tensor(1.4144782, shape=(), dtype=float32)"
22,"tf.Tensor(0.34130672, shape=(), dtype=float32)"
23,"tf.Tensor(1.2777206, shape=(), dtype=float32)"
24,"tf.Tensor(1.4344038, shape=(), dtype=float32)"
25,"tf.Tensor(0.9325162, shape=(), dtype=float32)"
26,"tf.Tensor(0.23156075, shape=(), dtype=float32)"
27,"tf.Tensor(1.2009709, shape=(), dtype=float32)"
28,"tf.Tensor(0.89248616, shape=(), dtype=float32)"
29,"tf.Tensor(0.38360596, shape=(), dtype=float32)"
30,"tf.Tensor(0.9658035, shape=(), dtype=float32)"
31,"tf.Tensor(0.75872177, shape=(), dtype=float32)"
32,"tf.Tensor(0.20245953, shape=(), dtype=float32)"
33,"tf.Tensor(0.72411937, shape=(), dtype=float32)"
34,"tf.Tensor(0.36883986, shape=(), dtype=float32)"
35,"tf.Tensor(0.21840341, shape=(), dtype=float32)"
36,"tf.Tensor(0.5667911, shape=(), dtype=float32)"
37,"tf.Tensor(0.36876252, shape=(), dtype=float32)"
38,"tf.Tensor(0.22432373, shape=(), dtype=float32)"
39,"tf.Tensor(0.4957044, shape=(), dtype=float32)"
40,"tf.Tensor(0.23646034, shape=(), dtype=float32)"
41,"tf.Tensor(0.37223598, shape=(), dtype=float32)"
42,"tf.Tensor(0.39704168, shape=(), dtype=float32)"
43,"tf.Tensor(0.27051562, shape=(), dtype=float32)"
44,"tf.Tensor(0.2380321, shape=(), dtype=float32)"
45,"tf.Tensor(0.30014834, shape=(), dtype=float32)"
46,"tf.Tensor(0.45796052, shape=(), dtype=float32)"
47,"tf.Tensor(0.3023114, shape=(), dtype=float32)"
48,"tf.Tensor(0.3524005, shape=(), dtype=float32)"
49,"tf.Tensor(0.33641428, shape=(), dtype=float32)"
50,"tf.Tensor(0.19361699, shape=(), dtype=float32)"
51,"tf.Tensor(0.25879878, shape=(), dtype=float32)"
52,"tf.Tensor(0.19351391, shape=(), dtype=float32)"
53,"tf.Tensor(0.29947558, shape=(), dtype=float32)"
54,"tf.Tensor(0.19465421, shape=(), dtype=float32)"
55,"tf.Tensor(0.099314764, shape=(), dtype=float32)"
56,"tf.Tensor(0.2894264, shape=(), dtype=float32)"
57,"tf.Tensor(0.23029268, shape=(), dtype=float32)"
58,"tf.Tensor(0.2866257, shape=(), dtype=float32)"
59,"tf.Tensor(0.16863637, shape=(), dtype=float32)"
60,"tf.Tensor(0.25704047, shape=(), dtype=float32)"
61,"tf.Tensor(0.14630711, shape=(), dtype=float32)"
62,"tf.Tensor(0.16782099, shape=(), dtype=float32)"
63,"tf.Tensor(0.10660137, shape=(), dtype=float32)"
64,"tf.Tensor(0.21960807, shape=(), dtype=float32)"
65,"tf.Tensor(0.21993643, shape=(), dtype=float32)"
66,"tf.Tensor(0.18608753, shape=(), dtype=float32)"
67,"tf.Tensor(0.1883227, shape=(), dtype=float32)"
