step,train_loss
0,
1,"tf.Tensor(11.727431, shape=(), dtype=float32)"
2,"tf.Tensor(9.895358, shape=(), dtype=float32)"
3,"tf.Tensor(7.0075006, shape=(), dtype=float32)"
4,"tf.Tensor(5.2838984, shape=(), dtype=float32)"
5,"tf.Tensor(4.53331, shape=(), dtype=float32)"
6,"tf.Tensor(4.0341635, shape=(), dtype=float32)"
7,"tf.Tensor(3.4883337, shape=(), dtype=float32)"
8,"tf.Tensor(3.8867872, shape=(), dtype=float32)"
9,"tf.Tensor(4.727115, shape=(), dtype=float32)"
10,"tf.Tensor(5.161816, shape=(), dtype=float32)"
11,"tf.Tensor(4.9037457, shape=(), dtype=float32)"
12,"tf.Tensor(4.841099, shape=(), dtype=float32)"
13,"tf.Tensor(4.572237, shape=(), dtype=float32)"
14,"tf.Tensor(3.5059638, shape=(), dtype=float32)"
15,"tf.Tensor(4.4666605, shape=(), dtype=float32)"
16,"tf.Tensor(4.635564, shape=(), dtype=float32)"
17,"tf.Tensor(5.5622306, shape=(), dtype=float32)"
18,"tf.Tensor(6.1323786, shape=(), dtype=float32)"
19,"tf.Tensor(6.229371, shape=(), dtype=float32)"
20,"tf.Tensor(6.8995786, shape=(), dtype=float32)"
21,"tf.Tensor(6.0208073, shape=(), dtype=float32)"
22,"tf.Tensor(6.775134, shape=(), dtype=float32)"
23,"tf.Tensor(6.182157, shape=(), dtype=float32)"
24,"tf.Tensor(6.597938, shape=(), dtype=float32)"
25,"tf.Tensor(7.299665, shape=(), dtype=float32)"
26,"tf.Tensor(6.8530045, shape=(), dtype=float32)"
27,"tf.Tensor(7.0880527, shape=(), dtype=float32)"
28,"tf.Tensor(7.040906, shape=(), dtype=float32)"
29,"tf.Tensor(6.5296617, shape=(), dtype=float32)"
30,"tf.Tensor(7.52487, shape=(), dtype=float32)"
31,"tf.Tensor(6.8713446, shape=(), dtype=float32)"
32,"tf.Tensor(6.644449, shape=(), dtype=float32)"
33,"tf.Tensor(6.83385, shape=(), dtype=float32)"
34,"tf.Tensor(7.670423, shape=(), dtype=float32)"
35,"tf.Tensor(7.862829, shape=(), dtype=float32)"
36,"tf.Tensor(6.85556, shape=(), dtype=float32)"
37,"tf.Tensor(6.7084923, shape=(), dtype=float32)"
38,"tf.Tensor(6.7852597, shape=(), dtype=float32)"
39,"tf.Tensor(6.425038, shape=(), dtype=float32)"
40,"tf.Tensor(7.2214966, shape=(), dtype=float32)"
41,"tf.Tensor(6.6773396, shape=(), dtype=float32)"
42,"tf.Tensor(6.420802, shape=(), dtype=float32)"
43,"tf.Tensor(6.6069136, shape=(), dtype=float32)"
44,"tf.Tensor(7.281202, shape=(), dtype=float32)"
45,"tf.Tensor(6.565523, shape=(), dtype=float32)"
46,"tf.Tensor(6.484684, shape=(), dtype=float32)"
47,"tf.Tensor(6.424914, shape=(), dtype=float32)"
48,"tf.Tensor(6.4203744, shape=(), dtype=float32)"
49,"tf.Tensor(6.664425, shape=(), dtype=float32)"
50,"tf.Tensor(6.900358, shape=(), dtype=float32)"
51,"tf.Tensor(7.9895062, shape=(), dtype=float32)"
52,"tf.Tensor(6.2574453, shape=(), dtype=float32)"
53,"tf.Tensor(6.530726, shape=(), dtype=float32)"
54,"tf.Tensor(6.762042, shape=(), dtype=float32)"
55,"tf.Tensor(6.7427034, shape=(), dtype=float32)"
56,"tf.Tensor(6.6614423, shape=(), dtype=float32)"
57,"tf.Tensor(7.173971, shape=(), dtype=float32)"
58,"tf.Tensor(7.1330614, shape=(), dtype=float32)"
59,"tf.Tensor(7.2758203, shape=(), dtype=float32)"
60,"tf.Tensor(6.39574, shape=(), dtype=float32)"
61,"tf.Tensor(7.311722, shape=(), dtype=float32)"
62,"tf.Tensor(7.151428, shape=(), dtype=float32)"
63,"tf.Tensor(6.59728, shape=(), dtype=float32)"
64,"tf.Tensor(6.904584, shape=(), dtype=float32)"
65,"tf.Tensor(6.2361546, shape=(), dtype=float32)"
66,"tf.Tensor(6.536677, shape=(), dtype=float32)"
67,"tf.Tensor(6.814928, shape=(), dtype=float32)"
68,"tf.Tensor(7.0837793, shape=(), dtype=float32)"
69,"tf.Tensor(7.316009, shape=(), dtype=float32)"
70,"tf.Tensor(7.102212, shape=(), dtype=float32)"
71,"tf.Tensor(7.2061124, shape=(), dtype=float32)"
72,"tf.Tensor(6.2492995, shape=(), dtype=float32)"
73,"tf.Tensor(7.411681, shape=(), dtype=float32)"
74,"tf.Tensor(6.451043, shape=(), dtype=float32)"
75,"tf.Tensor(6.8319125, shape=(), dtype=float32)"
76,"tf.Tensor(6.3148527, shape=(), dtype=float32)"
77,"tf.Tensor(7.0121117, shape=(), dtype=float32)"
78,"tf.Tensor(6.6089206, shape=(), dtype=float32)"
79,"tf.Tensor(6.94503, shape=(), dtype=float32)"
80,"tf.Tensor(7.3124137, shape=(), dtype=float32)"
81,"tf.Tensor(6.3048105, shape=(), dtype=float32)"
82,"tf.Tensor(6.3856797, shape=(), dtype=float32)"
83,"tf.Tensor(6.440866, shape=(), dtype=float32)"
84,"tf.Tensor(6.2626, shape=(), dtype=float32)"
85,"tf.Tensor(7.347283, shape=(), dtype=float32)"
86,"tf.Tensor(6.971115, shape=(), dtype=float32)"
87,"tf.Tensor(6.6436076, shape=(), dtype=float32)"
88,"tf.Tensor(6.518106, shape=(), dtype=float32)"
89,"tf.Tensor(7.187288, shape=(), dtype=float32)"
90,"tf.Tensor(7.227548, shape=(), dtype=float32)"
91,"tf.Tensor(6.1241665, shape=(), dtype=float32)"
92,"tf.Tensor(6.688997, shape=(), dtype=float32)"
93,"tf.Tensor(7.019901, shape=(), dtype=float32)"
94,"tf.Tensor(7.608319, shape=(), dtype=float32)"
95,"tf.Tensor(7.1205983, shape=(), dtype=float32)"
96,"tf.Tensor(6.623823, shape=(), dtype=float32)"
97,"tf.Tensor(7.2046714, shape=(), dtype=float32)"
98,"tf.Tensor(7.413154, shape=(), dtype=float32)"
99,"tf.Tensor(7.543633, shape=(), dtype=float32)"
100,"tf.Tensor(7.0145965, shape=(), dtype=float32)"
101,"tf.Tensor(6.825556, shape=(), dtype=float32)"
102,"tf.Tensor(6.503466, shape=(), dtype=float32)"
103,"tf.Tensor(7.0942683, shape=(), dtype=float32)"
104,"tf.Tensor(6.4575877, shape=(), dtype=float32)"
105,"tf.Tensor(6.3675976, shape=(), dtype=float32)"
106,"tf.Tensor(6.798129, shape=(), dtype=float32)"
107,"tf.Tensor(6.435668, shape=(), dtype=float32)"
108,"tf.Tensor(6.657239, shape=(), dtype=float32)"
109,"tf.Tensor(7.6325154, shape=(), dtype=float32)"
110,"tf.Tensor(7.7924366, shape=(), dtype=float32)"
111,"tf.Tensor(6.7460146, shape=(), dtype=float32)"
112,"tf.Tensor(6.365329, shape=(), dtype=float32)"
113,"tf.Tensor(6.86631, shape=(), dtype=float32)"
114,"tf.Tensor(6.877588, shape=(), dtype=float32)"
115,"tf.Tensor(6.9662485, shape=(), dtype=float32)"
116,"tf.Tensor(6.510266, shape=(), dtype=float32)"
117,"tf.Tensor(6.8605275, shape=(), dtype=float32)"
118,"tf.Tensor(6.961624, shape=(), dtype=float32)"
119,"tf.Tensor(7.232107, shape=(), dtype=float32)"
120,"tf.Tensor(7.3454213, shape=(), dtype=float32)"
121,"tf.Tensor(6.4182067, shape=(), dtype=float32)"
122,"tf.Tensor(6.947846, shape=(), dtype=float32)"
123,"tf.Tensor(7.286614, shape=(), dtype=float32)"
124,"tf.Tensor(7.000401, shape=(), dtype=float32)"
125,"tf.Tensor(7.0092177, shape=(), dtype=float32)"
126,"tf.Tensor(6.2373405, shape=(), dtype=float32)"
127,"tf.Tensor(6.680974, shape=(), dtype=float32)"
128,"tf.Tensor(6.962569, shape=(), dtype=float32)"
129,"tf.Tensor(6.9345474, shape=(), dtype=float32)"
130,"tf.Tensor(7.178659, shape=(), dtype=float32)"
131,"tf.Tensor(6.713721, shape=(), dtype=float32)"
132,"tf.Tensor(7.0697412, shape=(), dtype=float32)"
133,"tf.Tensor(7.7450666, shape=(), dtype=float32)"
134,"tf.Tensor(6.5569305, shape=(), dtype=float32)"
135,"tf.Tensor(6.6590905, shape=(), dtype=float32)"
136,"tf.Tensor(7.435814, shape=(), dtype=float32)"
137,"tf.Tensor(6.6905284, shape=(), dtype=float32)"
138,"tf.Tensor(7.0071454, shape=(), dtype=float32)"
139,"tf.Tensor(6.948226, shape=(), dtype=float32)"
140,"tf.Tensor(6.367639, shape=(), dtype=float32)"
141,"tf.Tensor(7.6401734, shape=(), dtype=float32)"
142,"tf.Tensor(7.0037827, shape=(), dtype=float32)"
143,"tf.Tensor(6.2107944, shape=(), dtype=float32)"
144,"tf.Tensor(6.5726223, shape=(), dtype=float32)"
145,"tf.Tensor(6.79697, shape=(), dtype=float32)"
146,"tf.Tensor(6.4530396, shape=(), dtype=float32)"
147,"tf.Tensor(7.4911647, shape=(), dtype=float32)"
148,"tf.Tensor(6.5394006, shape=(), dtype=float32)"
149,"tf.Tensor(7.468058, shape=(), dtype=float32)"
150,"tf.Tensor(7.386543, shape=(), dtype=float32)"
151,"tf.Tensor(7.1621475, shape=(), dtype=float32)"
152,"tf.Tensor(6.534635, shape=(), dtype=float32)"
153,"tf.Tensor(6.844098, shape=(), dtype=float32)"
154,"tf.Tensor(6.2931023, shape=(), dtype=float32)"
155,"tf.Tensor(6.685243, shape=(), dtype=float32)"
156,"tf.Tensor(6.489986, shape=(), dtype=float32)"
157,"tf.Tensor(6.975731, shape=(), dtype=float32)"
158,"tf.Tensor(6.8332286, shape=(), dtype=float32)"
159,"tf.Tensor(7.0191145, shape=(), dtype=float32)"
160,"tf.Tensor(6.918676, shape=(), dtype=float32)"
161,"tf.Tensor(7.3012958, shape=(), dtype=float32)"
162,"tf.Tensor(6.471774, shape=(), dtype=float32)"
163,"tf.Tensor(6.87098, shape=(), dtype=float32)"
164,"tf.Tensor(7.307867, shape=(), dtype=float32)"
165,"tf.Tensor(6.0317364, shape=(), dtype=float32)"
166,"tf.Tensor(6.893382, shape=(), dtype=float32)"
167,"tf.Tensor(7.3903823, shape=(), dtype=float32)"
168,"tf.Tensor(7.208816, shape=(), dtype=float32)"
169,"tf.Tensor(6.3666153, shape=(), dtype=float32)"
170,"tf.Tensor(6.19268, shape=(), dtype=float32)"
171,"tf.Tensor(6.2835383, shape=(), dtype=float32)"
172,"tf.Tensor(6.466024, shape=(), dtype=float32)"
173,"tf.Tensor(6.745851, shape=(), dtype=float32)"
174,"tf.Tensor(6.1118093, shape=(), dtype=float32)"
175,"tf.Tensor(6.414583, shape=(), dtype=float32)"
176,"tf.Tensor(6.5302334, shape=(), dtype=float32)"
177,"tf.Tensor(6.9363723, shape=(), dtype=float32)"
178,"tf.Tensor(6.4610333, shape=(), dtype=float32)"
179,"tf.Tensor(6.659384, shape=(), dtype=float32)"
180,"tf.Tensor(6.283102, shape=(), dtype=float32)"
181,"tf.Tensor(6.5618453, shape=(), dtype=float32)"
182,"tf.Tensor(6.7660375, shape=(), dtype=float32)"
183,"tf.Tensor(6.9712453, shape=(), dtype=float32)"
184,"tf.Tensor(6.780219, shape=(), dtype=float32)"
185,"tf.Tensor(6.9800234, shape=(), dtype=float32)"
186,"tf.Tensor(7.4688673, shape=(), dtype=float32)"
187,"tf.Tensor(6.7837834, shape=(), dtype=float32)"
188,"tf.Tensor(6.885822, shape=(), dtype=float32)"
189,"tf.Tensor(7.3037534, shape=(), dtype=float32)"
190,"tf.Tensor(6.4738145, shape=(), dtype=float32)"
191,"tf.Tensor(6.419946, shape=(), dtype=float32)"
192,"tf.Tensor(8.006811, shape=(), dtype=float32)"
193,"tf.Tensor(6.9803157, shape=(), dtype=float32)"
194,"tf.Tensor(7.404554, shape=(), dtype=float32)"
195,"tf.Tensor(6.4903164, shape=(), dtype=float32)"
196,"tf.Tensor(6.94256, shape=(), dtype=float32)"
197,"tf.Tensor(6.7689724, shape=(), dtype=float32)"
198,"tf.Tensor(6.3279777, shape=(), dtype=float32)"
199,"tf.Tensor(7.1534605, shape=(), dtype=float32)"
200,"tf.Tensor(7.070713, shape=(), dtype=float32)"
201,"tf.Tensor(7.4590383, shape=(), dtype=float32)"
202,"tf.Tensor(6.794256, shape=(), dtype=float32)"
203,"tf.Tensor(6.606286, shape=(), dtype=float32)"
204,"tf.Tensor(6.7876134, shape=(), dtype=float32)"
205,"tf.Tensor(6.6129556, shape=(), dtype=float32)"
206,"tf.Tensor(6.6860476, shape=(), dtype=float32)"
207,"tf.Tensor(6.4216175, shape=(), dtype=float32)"
208,"tf.Tensor(6.4766445, shape=(), dtype=float32)"
209,"tf.Tensor(6.808884, shape=(), dtype=float32)"
210,"tf.Tensor(7.186734, shape=(), dtype=float32)"
211,"tf.Tensor(7.2936044, shape=(), dtype=float32)"
212,"tf.Tensor(7.2449546, shape=(), dtype=float32)"
213,"tf.Tensor(6.854385, shape=(), dtype=float32)"
214,"tf.Tensor(6.287485, shape=(), dtype=float32)"
215,"tf.Tensor(6.1810107, shape=(), dtype=float32)"
216,"tf.Tensor(7.048024, shape=(), dtype=float32)"
217,"tf.Tensor(7.0438175, shape=(), dtype=float32)"
218,"tf.Tensor(6.8576508, shape=(), dtype=float32)"
219,"tf.Tensor(6.5560436, shape=(), dtype=float32)"
220,"tf.Tensor(6.4099145, shape=(), dtype=float32)"
221,"tf.Tensor(6.350883, shape=(), dtype=float32)"
222,"tf.Tensor(6.8079143, shape=(), dtype=float32)"
223,"tf.Tensor(7.6510806, shape=(), dtype=float32)"
224,"tf.Tensor(7.140153, shape=(), dtype=float32)"
225,"tf.Tensor(6.4266787, shape=(), dtype=float32)"
226,"tf.Tensor(6.8534503, shape=(), dtype=float32)"
227,"tf.Tensor(7.158435, shape=(), dtype=float32)"
228,"tf.Tensor(6.8042684, shape=(), dtype=float32)"
229,"tf.Tensor(7.6062784, shape=(), dtype=float32)"
230,"tf.Tensor(7.0968537, shape=(), dtype=float32)"
231,"tf.Tensor(7.0210586, shape=(), dtype=float32)"
232,"tf.Tensor(6.922858, shape=(), dtype=float32)"
233,"tf.Tensor(7.0373993, shape=(), dtype=float32)"
234,"tf.Tensor(6.6800137, shape=(), dtype=float32)"
235,"tf.Tensor(6.552739, shape=(), dtype=float32)"
236,"tf.Tensor(6.89041, shape=(), dtype=float32)"
237,"tf.Tensor(6.890441, shape=(), dtype=float32)"
238,"tf.Tensor(6.3608913, shape=(), dtype=float32)"
239,"tf.Tensor(7.361517, shape=(), dtype=float32)"
240,"tf.Tensor(6.6469836, shape=(), dtype=float32)"
241,"tf.Tensor(7.0868263, shape=(), dtype=float32)"
242,"tf.Tensor(6.7659287, shape=(), dtype=float32)"
243,"tf.Tensor(6.792083, shape=(), dtype=float32)"
244,"tf.Tensor(6.8008494, shape=(), dtype=float32)"
245,"tf.Tensor(6.6311736, shape=(), dtype=float32)"
246,"tf.Tensor(6.182282, shape=(), dtype=float32)"
247,"tf.Tensor(6.837196, shape=(), dtype=float32)"
248,"tf.Tensor(6.053596, shape=(), dtype=float32)"
249,"tf.Tensor(6.667107, shape=(), dtype=float32)"
250,"tf.Tensor(6.8770866, shape=(), dtype=float32)"
251,"tf.Tensor(6.4389243, shape=(), dtype=float32)"
252,"tf.Tensor(6.31585, shape=(), dtype=float32)"
253,"tf.Tensor(6.459059, shape=(), dtype=float32)"
254,"tf.Tensor(6.371156, shape=(), dtype=float32)"
255,"tf.Tensor(7.033401, shape=(), dtype=float32)"
256,"tf.Tensor(7.1561556, shape=(), dtype=float32)"
257,"tf.Tensor(6.7007484, shape=(), dtype=float32)"
258,"tf.Tensor(7.766277, shape=(), dtype=float32)"
259,"tf.Tensor(7.251967, shape=(), dtype=float32)"
260,"tf.Tensor(6.744265, shape=(), dtype=float32)"
261,"tf.Tensor(7.1182294, shape=(), dtype=float32)"
262,"tf.Tensor(6.6052947, shape=(), dtype=float32)"
263,"tf.Tensor(6.1192536, shape=(), dtype=float32)"
264,"tf.Tensor(6.6169643, shape=(), dtype=float32)"
265,"tf.Tensor(6.4722795, shape=(), dtype=float32)"
266,"tf.Tensor(7.441922, shape=(), dtype=float32)"
267,"tf.Tensor(7.056049, shape=(), dtype=float32)"
268,"tf.Tensor(7.801683, shape=(), dtype=float32)"
269,"tf.Tensor(6.5646443, shape=(), dtype=float32)"
270,"tf.Tensor(6.7118106, shape=(), dtype=float32)"
271,"tf.Tensor(7.4307485, shape=(), dtype=float32)"
272,"tf.Tensor(7.070104, shape=(), dtype=float32)"
273,"tf.Tensor(6.812654, shape=(), dtype=float32)"
274,"tf.Tensor(7.0574617, shape=(), dtype=float32)"
275,"tf.Tensor(7.19341, shape=(), dtype=float32)"
276,"tf.Tensor(6.371065, shape=(), dtype=float32)"
277,"tf.Tensor(7.090288, shape=(), dtype=float32)"
278,"tf.Tensor(6.726268, shape=(), dtype=float32)"
279,"tf.Tensor(6.2723484, shape=(), dtype=float32)"
280,"tf.Tensor(6.771587, shape=(), dtype=float32)"
281,"tf.Tensor(6.815984, shape=(), dtype=float32)"
282,"tf.Tensor(6.6175933, shape=(), dtype=float32)"
283,"tf.Tensor(6.7960906, shape=(), dtype=float32)"
284,"tf.Tensor(6.4955387, shape=(), dtype=float32)"
285,"tf.Tensor(6.3977013, shape=(), dtype=float32)"
286,"tf.Tensor(7.0635743, shape=(), dtype=float32)"
287,"tf.Tensor(7.4996314, shape=(), dtype=float32)"
288,"tf.Tensor(6.8423367, shape=(), dtype=float32)"
289,"tf.Tensor(7.195288, shape=(), dtype=float32)"
290,"tf.Tensor(6.2732763, shape=(), dtype=float32)"
291,"tf.Tensor(6.916967, shape=(), dtype=float32)"
292,"tf.Tensor(6.8169904, shape=(), dtype=float32)"
