step,train_loss
0,
1,"tf.Tensor(29.094593, shape=(), dtype=float32)"
2,"tf.Tensor(12.0339575, shape=(), dtype=float32)"
3,"tf.Tensor(5.1719365, shape=(), dtype=float32)"
4,"tf.Tensor(6.5485187, shape=(), dtype=float32)"
5,"tf.Tensor(9.525327, shape=(), dtype=float32)"
6,"tf.Tensor(14.003454, shape=(), dtype=float32)"
7,"tf.Tensor(11.191731, shape=(), dtype=float32)"
8,"tf.Tensor(9.088997, shape=(), dtype=float32)"
9,"tf.Tensor(8.217922, shape=(), dtype=float32)"
10,"tf.Tensor(8.945412, shape=(), dtype=float32)"
11,"tf.Tensor(11.031541, shape=(), dtype=float32)"
12,"tf.Tensor(12.514749, shape=(), dtype=float32)"
13,"tf.Tensor(12.5874, shape=(), dtype=float32)"
14,"tf.Tensor(12.709098, shape=(), dtype=float32)"
15,"tf.Tensor(10.484998, shape=(), dtype=float32)"
16,"tf.Tensor(9.134288, shape=(), dtype=float32)"
17,"tf.Tensor(8.980663, shape=(), dtype=float32)"
18,"tf.Tensor(8.626672, shape=(), dtype=float32)"
19,"tf.Tensor(9.537387, shape=(), dtype=float32)"
20,"tf.Tensor(9.147267, shape=(), dtype=float32)"
21,"tf.Tensor(8.400085, shape=(), dtype=float32)"
22,"tf.Tensor(9.546933, shape=(), dtype=float32)"
23,"tf.Tensor(8.58065, shape=(), dtype=float32)"
24,"tf.Tensor(8.222951, shape=(), dtype=float32)"
25,"tf.Tensor(9.166324, shape=(), dtype=float32)"
26,"tf.Tensor(7.64509, shape=(), dtype=float32)"
27,"tf.Tensor(8.671746, shape=(), dtype=float32)"
28,"tf.Tensor(8.871573, shape=(), dtype=float32)"
29,"tf.Tensor(10.1108465, shape=(), dtype=float32)"
30,"tf.Tensor(9.661881, shape=(), dtype=float32)"
31,"tf.Tensor(8.889639, shape=(), dtype=float32)"
32,"tf.Tensor(9.237795, shape=(), dtype=float32)"
33,"tf.Tensor(7.478358, shape=(), dtype=float32)"
34,"tf.Tensor(8.595798, shape=(), dtype=float32)"
35,"tf.Tensor(9.061801, shape=(), dtype=float32)"
36,"tf.Tensor(8.468893, shape=(), dtype=float32)"
37,"tf.Tensor(6.8246794, shape=(), dtype=float32)"
38,"tf.Tensor(7.3161554, shape=(), dtype=float32)"
39,"tf.Tensor(6.8432894, shape=(), dtype=float32)"
40,"tf.Tensor(8.519457, shape=(), dtype=float32)"
41,"tf.Tensor(8.753207, shape=(), dtype=float32)"
42,"tf.Tensor(10.011017, shape=(), dtype=float32)"
43,"tf.Tensor(8.609305, shape=(), dtype=float32)"
44,"tf.Tensor(7.997949, shape=(), dtype=float32)"
45,"tf.Tensor(7.7035465, shape=(), dtype=float32)"
46,"tf.Tensor(7.266551, shape=(), dtype=float32)"
