step,train_loss0,train_loss1,train_loss2,train_loss_coordintae
0,,,,
1,14.202359,25.887524,20.78987,21.948116
2,12.3346195,26.090832,18.00946,18.94266
3,13.075905,22.496616,16.609543,18.357498
4,12.120594,19.100239,12.841068,16.971605
5,11.521201,13.26305,12.058016,18.128601
