step,train_loss
0,
1,"tf.Tensor(5.751823, shape=(), dtype=float32)"
2,"tf.Tensor(5.776385, shape=(), dtype=float32)"
3,"tf.Tensor(5.719595, shape=(), dtype=float32)"
4,"tf.Tensor(5.601081, shape=(), dtype=float32)"
5,"tf.Tensor(5.652769, shape=(), dtype=float32)"
6,"tf.Tensor(5.7868357, shape=(), dtype=float32)"
7,"tf.Tensor(5.7751703, shape=(), dtype=float32)"
8,"tf.Tensor(5.5776234, shape=(), dtype=float32)"
9,"tf.Tensor(5.689332, shape=(), dtype=float32)"
10,"tf.Tensor(5.7000556, shape=(), dtype=float32)"
11,"tf.Tensor(5.706953, shape=(), dtype=float32)"
12,"tf.Tensor(5.7131877, shape=(), dtype=float32)"
13,"tf.Tensor(5.6948357, shape=(), dtype=float32)"
14,"tf.Tensor(5.6732454, shape=(), dtype=float32)"
15,"tf.Tensor(5.693994, shape=(), dtype=float32)"
16,"tf.Tensor(5.574417, shape=(), dtype=float32)"
17,"tf.Tensor(5.765698, shape=(), dtype=float32)"
18,"tf.Tensor(5.635435, shape=(), dtype=float32)"
19,"tf.Tensor(5.7101836, shape=(), dtype=float32)"
20,"tf.Tensor(5.6121597, shape=(), dtype=float32)"
21,"tf.Tensor(5.6402564, shape=(), dtype=float32)"
22,"tf.Tensor(5.663485, shape=(), dtype=float32)"
23,"tf.Tensor(5.7154975, shape=(), dtype=float32)"
24,"tf.Tensor(5.6973567, shape=(), dtype=float32)"
25,"tf.Tensor(5.7667284, shape=(), dtype=float32)"
26,"tf.Tensor(5.709357, shape=(), dtype=float32)"
27,"tf.Tensor(5.8170547, shape=(), dtype=float32)"
28,"tf.Tensor(5.785462, shape=(), dtype=float32)"
29,"tf.Tensor(5.7385836, shape=(), dtype=float32)"
30,"tf.Tensor(5.827306, shape=(), dtype=float32)"
31,"tf.Tensor(5.7210717, shape=(), dtype=float32)"
32,"tf.Tensor(5.7671494, shape=(), dtype=float32)"
33,"tf.Tensor(5.644438, shape=(), dtype=float32)"
34,"tf.Tensor(5.7163353, shape=(), dtype=float32)"
35,"tf.Tensor(5.8351603, shape=(), dtype=float32)"
36,"tf.Tensor(5.5431085, shape=(), dtype=float32)"
37,"tf.Tensor(5.614602, shape=(), dtype=float32)"
38,"tf.Tensor(5.788421, shape=(), dtype=float32)"
39,"tf.Tensor(5.736741, shape=(), dtype=float32)"
40,"tf.Tensor(5.7025304, shape=(), dtype=float32)"
41,"tf.Tensor(5.710421, shape=(), dtype=float32)"
42,"tf.Tensor(5.759284, shape=(), dtype=float32)"
43,"tf.Tensor(5.6813145, shape=(), dtype=float32)"
44,"tf.Tensor(5.7411785, shape=(), dtype=float32)"
45,"tf.Tensor(5.695343, shape=(), dtype=float32)"
46,"tf.Tensor(5.8064976, shape=(), dtype=float32)"
47,"tf.Tensor(5.689295, shape=(), dtype=float32)"
48,"tf.Tensor(5.683301, shape=(), dtype=float32)"
49,"tf.Tensor(5.6044044, shape=(), dtype=float32)"
50,"tf.Tensor(5.7568336, shape=(), dtype=float32)"
51,"tf.Tensor(5.707534, shape=(), dtype=float32)"
52,"tf.Tensor(5.762665, shape=(), dtype=float32)"
53,"tf.Tensor(5.591424, shape=(), dtype=float32)"
54,"tf.Tensor(5.8049955, shape=(), dtype=float32)"
55,"tf.Tensor(5.7717123, shape=(), dtype=float32)"
56,"tf.Tensor(5.7963133, shape=(), dtype=float32)"
57,"tf.Tensor(5.70305, shape=(), dtype=float32)"
58,"tf.Tensor(5.768223, shape=(), dtype=float32)"
59,"tf.Tensor(5.734393, shape=(), dtype=float32)"
60,"tf.Tensor(5.6668186, shape=(), dtype=float32)"
61,"tf.Tensor(5.738041, shape=(), dtype=float32)"
62,"tf.Tensor(5.7317605, shape=(), dtype=float32)"
63,"tf.Tensor(5.6783633, shape=(), dtype=float32)"
64,"tf.Tensor(5.690653, shape=(), dtype=float32)"
65,"tf.Tensor(5.7758985, shape=(), dtype=float32)"
66,"tf.Tensor(5.6216927, shape=(), dtype=float32)"
67,"tf.Tensor(5.766689, shape=(), dtype=float32)"
68,"tf.Tensor(5.694192, shape=(), dtype=float32)"
69,"tf.Tensor(5.7504272, shape=(), dtype=float32)"
70,"tf.Tensor(5.6589823, shape=(), dtype=float32)"
71,"tf.Tensor(5.647836, shape=(), dtype=float32)"
72,"tf.Tensor(5.659951, shape=(), dtype=float32)"
73,"tf.Tensor(5.6387987, shape=(), dtype=float32)"
74,"tf.Tensor(5.6969166, shape=(), dtype=float32)"
75,"tf.Tensor(5.6797247, shape=(), dtype=float32)"
76,"tf.Tensor(5.719565, shape=(), dtype=float32)"
77,"tf.Tensor(5.669319, shape=(), dtype=float32)"
78,"tf.Tensor(5.746833, shape=(), dtype=float32)"
79,"tf.Tensor(5.59015, shape=(), dtype=float32)"
80,"tf.Tensor(5.731997, shape=(), dtype=float32)"
81,"tf.Tensor(5.7565327, shape=(), dtype=float32)"
82,"tf.Tensor(5.70754, shape=(), dtype=float32)"
83,"tf.Tensor(5.781851, shape=(), dtype=float32)"
84,"tf.Tensor(5.684156, shape=(), dtype=float32)"
85,"tf.Tensor(5.808528, shape=(), dtype=float32)"
86,"tf.Tensor(5.704905, shape=(), dtype=float32)"
87,"tf.Tensor(5.758073, shape=(), dtype=float32)"
88,"tf.Tensor(5.6568465, shape=(), dtype=float32)"
89,"tf.Tensor(5.8632674, shape=(), dtype=float32)"
90,"tf.Tensor(5.75434, shape=(), dtype=float32)"
91,"tf.Tensor(5.6493626, shape=(), dtype=float32)"
92,"tf.Tensor(5.7998133, shape=(), dtype=float32)"
93,"tf.Tensor(5.6612887, shape=(), dtype=float32)"
94,"tf.Tensor(5.7580557, shape=(), dtype=float32)"
95,"tf.Tensor(5.65331, shape=(), dtype=float32)"
96,"tf.Tensor(5.692815, shape=(), dtype=float32)"
97,"tf.Tensor(5.679219, shape=(), dtype=float32)"
98,"tf.Tensor(5.7133107, shape=(), dtype=float32)"
99,"tf.Tensor(5.650079, shape=(), dtype=float32)"
100,"tf.Tensor(5.6717653, shape=(), dtype=float32)"
