step,avg_reward
0,-205.81775
1,-204.41393
2,-201.45006
3,-202.17444
4,-201.18939
5,-200.85745
6,-201.89456
7,-200.93254
8,-200.33264
9,-202.34877
10,-200.41566
11,-200.72272
12,-201.81888
13,-196.31726
14,-200.90184
15,-201.28453
16,-202.69495
17,-202.23303
18,-200.92062
19,-200.88843
20,-200.2022
21,-200.53665
22,-201.62022
23,-199.01373
24,-201.42441
25,-200.51088
26,-199.40582
27,-201.22786
28,-200.80333
29,-202.56631
30,-198.71075
31,-200.2561
32,-200.60359
33,-201.46028
34,-201.16554
35,-200.42471
36,-201.55176
