step,train_loss0,train_loss1,train_loss2,train_loss_coordintae
0,,,,
1,10.505102,18.39756,9.788224,18.729414
2,10.67854,17.040627,9.819544,20.340094
3,11.460032,15.941347,10.300188,19.89946
4,11.630934,16.1441,10.321101,21.344055
5,12.92665,15.702724,10.634776,21.9687
