step,train_loss0,train_loss1,train_loss2,train_loss_coordintae
0,,,,
1,7.6195817,7.555399,5.4970536,18.76989
2,5.4046617,9.214264,7.1469874,22.49541
3,6.285371,8.824562,7.34147,33.29059
4,7.2319546,10.153358,5.6589127,18.474329
5,7.864848,12.208794,4.389575,31.374613
