step,train_loss
0,
1,"tf.Tensor(6.263999, shape=(), dtype=float32)"
2,"tf.Tensor(5.9684825, shape=(), dtype=float32)"
3,"tf.Tensor(5.949871, shape=(), dtype=float32)"
4,"tf.Tensor(6.3168106, shape=(), dtype=float32)"
5,"tf.Tensor(5.6112466, shape=(), dtype=float32)"
6,"tf.Tensor(5.249374, shape=(), dtype=float32)"
7,"tf.Tensor(5.817268, shape=(), dtype=float32)"
8,"tf.Tensor(6.2139564, shape=(), dtype=float32)"
9,"tf.Tensor(7.1278276, shape=(), dtype=float32)"
10,"tf.Tensor(7.267876, shape=(), dtype=float32)"
11,"tf.Tensor(8.004326, shape=(), dtype=float32)"
12,"tf.Tensor(8.71341, shape=(), dtype=float32)"
13,"tf.Tensor(8.773214, shape=(), dtype=float32)"
14,"tf.Tensor(8.5385685, shape=(), dtype=float32)"
15,"tf.Tensor(8.267851, shape=(), dtype=float32)"
16,"tf.Tensor(8.258143, shape=(), dtype=float32)"
17,"tf.Tensor(7.50845, shape=(), dtype=float32)"
18,"tf.Tensor(7.8003864, shape=(), dtype=float32)"
19,"tf.Tensor(7.311018, shape=(), dtype=float32)"
20,"tf.Tensor(7.3271475, shape=(), dtype=float32)"
21,"tf.Tensor(7.903784, shape=(), dtype=float32)"
22,"tf.Tensor(7.266948, shape=(), dtype=float32)"
23,"tf.Tensor(6.745649, shape=(), dtype=float32)"
24,"tf.Tensor(7.4732885, shape=(), dtype=float32)"
25,"tf.Tensor(7.0974107, shape=(), dtype=float32)"
26,"tf.Tensor(8.038077, shape=(), dtype=float32)"
27,"tf.Tensor(7.2059865, shape=(), dtype=float32)"
28,"tf.Tensor(7.6084414, shape=(), dtype=float32)"
29,"tf.Tensor(6.3610888, shape=(), dtype=float32)"
30,"tf.Tensor(6.9788175, shape=(), dtype=float32)"
31,"tf.Tensor(6.9406934, shape=(), dtype=float32)"
32,"tf.Tensor(6.467577, shape=(), dtype=float32)"
33,"tf.Tensor(7.4572573, shape=(), dtype=float32)"
34,"tf.Tensor(7.149506, shape=(), dtype=float32)"
35,"tf.Tensor(6.9764476, shape=(), dtype=float32)"
36,"tf.Tensor(7.248095, shape=(), dtype=float32)"
37,"tf.Tensor(7.489116, shape=(), dtype=float32)"
38,"tf.Tensor(7.749089, shape=(), dtype=float32)"
39,"tf.Tensor(6.787025, shape=(), dtype=float32)"
40,"tf.Tensor(7.34644, shape=(), dtype=float32)"
41,"tf.Tensor(7.673286, shape=(), dtype=float32)"
42,"tf.Tensor(7.7556195, shape=(), dtype=float32)"
