step,train_loss
0,
1,"tf.Tensor(11.376779, shape=(), dtype=float32)"
2,"tf.Tensor(10.612167, shape=(), dtype=float32)"
3,"tf.Tensor(10.207646, shape=(), dtype=float32)"
4,"tf.Tensor(9.612899, shape=(), dtype=float32)"
5,"tf.Tensor(8.561002, shape=(), dtype=float32)"
6,"tf.Tensor(7.766298, shape=(), dtype=float32)"
7,"tf.Tensor(8.265544, shape=(), dtype=float32)"
8,"tf.Tensor(7.509657, shape=(), dtype=float32)"
9,"tf.Tensor(7.003995, shape=(), dtype=float32)"
10,"tf.Tensor(6.9302087, shape=(), dtype=float32)"
11,"tf.Tensor(7.1078205, shape=(), dtype=float32)"
12,"tf.Tensor(6.262768, shape=(), dtype=float32)"
13,"tf.Tensor(7.044948, shape=(), dtype=float32)"
14,"tf.Tensor(6.985841, shape=(), dtype=float32)"
15,"tf.Tensor(6.551752, shape=(), dtype=float32)"
16,"tf.Tensor(6.6419954, shape=(), dtype=float32)"
17,"tf.Tensor(6.4869704, shape=(), dtype=float32)"
18,"tf.Tensor(6.393824, shape=(), dtype=float32)"
19,"tf.Tensor(7.272392, shape=(), dtype=float32)"
20,"tf.Tensor(7.311224, shape=(), dtype=float32)"
21,"tf.Tensor(6.6676273, shape=(), dtype=float32)"
22,"tf.Tensor(6.861835, shape=(), dtype=float32)"
23,"tf.Tensor(6.7889843, shape=(), dtype=float32)"
24,"tf.Tensor(6.2807164, shape=(), dtype=float32)"
25,"tf.Tensor(7.8460255, shape=(), dtype=float32)"
26,"tf.Tensor(7.580883, shape=(), dtype=float32)"
27,"tf.Tensor(7.1486964, shape=(), dtype=float32)"
28,"tf.Tensor(7.5069027, shape=(), dtype=float32)"
29,"tf.Tensor(7.40306, shape=(), dtype=float32)"
30,"tf.Tensor(7.0912843, shape=(), dtype=float32)"
31,"tf.Tensor(7.1698217, shape=(), dtype=float32)"
32,"tf.Tensor(6.819709, shape=(), dtype=float32)"
33,"tf.Tensor(7.13353, shape=(), dtype=float32)"
34,"tf.Tensor(7.5142336, shape=(), dtype=float32)"
35,"tf.Tensor(6.5429387, shape=(), dtype=float32)"
36,"tf.Tensor(6.64038, shape=(), dtype=float32)"
37,"tf.Tensor(6.8546095, shape=(), dtype=float32)"
38,"tf.Tensor(7.4636335, shape=(), dtype=float32)"
39,"tf.Tensor(6.746491, shape=(), dtype=float32)"
40,"tf.Tensor(7.1590967, shape=(), dtype=float32)"
41,"tf.Tensor(6.9084406, shape=(), dtype=float32)"
42,"tf.Tensor(6.925708, shape=(), dtype=float32)"
43,"tf.Tensor(7.5085244, shape=(), dtype=float32)"
44,"tf.Tensor(7.630843, shape=(), dtype=float32)"
45,"tf.Tensor(7.4273086, shape=(), dtype=float32)"
46,"tf.Tensor(7.18671, shape=(), dtype=float32)"
47,"tf.Tensor(7.0424414, shape=(), dtype=float32)"
48,"tf.Tensor(7.067772, shape=(), dtype=float32)"
49,"tf.Tensor(7.1153717, shape=(), dtype=float32)"
50,"tf.Tensor(7.0186973, shape=(), dtype=float32)"
51,"tf.Tensor(7.4356046, shape=(), dtype=float32)"
52,"tf.Tensor(7.2569304, shape=(), dtype=float32)"
53,"tf.Tensor(6.873581, shape=(), dtype=float32)"
54,"tf.Tensor(7.075482, shape=(), dtype=float32)"
55,"tf.Tensor(6.9015365, shape=(), dtype=float32)"
56,"tf.Tensor(7.349197, shape=(), dtype=float32)"
57,"tf.Tensor(6.7264285, shape=(), dtype=float32)"
58,"tf.Tensor(6.900034, shape=(), dtype=float32)"
59,"tf.Tensor(6.890703, shape=(), dtype=float32)"
60,"tf.Tensor(7.9301076, shape=(), dtype=float32)"
61,"tf.Tensor(6.6973243, shape=(), dtype=float32)"
62,"tf.Tensor(7.0930614, shape=(), dtype=float32)"
63,"tf.Tensor(6.802562, shape=(), dtype=float32)"
64,"tf.Tensor(7.1239357, shape=(), dtype=float32)"
65,"tf.Tensor(7.02889, shape=(), dtype=float32)"
66,"tf.Tensor(7.0003223, shape=(), dtype=float32)"
67,"tf.Tensor(6.9480405, shape=(), dtype=float32)"
68,"tf.Tensor(7.2545295, shape=(), dtype=float32)"
69,"tf.Tensor(7.223512, shape=(), dtype=float32)"
70,"tf.Tensor(7.4385676, shape=(), dtype=float32)"
71,"tf.Tensor(6.830518, shape=(), dtype=float32)"
72,"tf.Tensor(7.8129897, shape=(), dtype=float32)"
73,"tf.Tensor(7.28353, shape=(), dtype=float32)"
74,"tf.Tensor(6.976162, shape=(), dtype=float32)"
75,"tf.Tensor(7.4973845, shape=(), dtype=float32)"
76,"tf.Tensor(7.217399, shape=(), dtype=float32)"
77,"tf.Tensor(7.1818733, shape=(), dtype=float32)"
78,"tf.Tensor(7.5178304, shape=(), dtype=float32)"
79,"tf.Tensor(7.1279283, shape=(), dtype=float32)"
80,"tf.Tensor(6.902451, shape=(), dtype=float32)"
81,"tf.Tensor(7.264941, shape=(), dtype=float32)"
82,"tf.Tensor(6.9357452, shape=(), dtype=float32)"
83,"tf.Tensor(6.9951463, shape=(), dtype=float32)"
84,"tf.Tensor(6.6575947, shape=(), dtype=float32)"
85,"tf.Tensor(6.7599263, shape=(), dtype=float32)"
86,"tf.Tensor(6.495583, shape=(), dtype=float32)"
87,"tf.Tensor(7.0807796, shape=(), dtype=float32)"
88,"tf.Tensor(7.370132, shape=(), dtype=float32)"
89,"tf.Tensor(7.3329654, shape=(), dtype=float32)"
90,"tf.Tensor(7.2566147, shape=(), dtype=float32)"
91,"tf.Tensor(6.9782014, shape=(), dtype=float32)"
92,"tf.Tensor(7.5097356, shape=(), dtype=float32)"
93,"tf.Tensor(7.76659, shape=(), dtype=float32)"
94,"tf.Tensor(7.3643017, shape=(), dtype=float32)"
95,"tf.Tensor(7.3578725, shape=(), dtype=float32)"
96,"tf.Tensor(7.106374, shape=(), dtype=float32)"
97,"tf.Tensor(7.8878922, shape=(), dtype=float32)"
98,"tf.Tensor(7.3863063, shape=(), dtype=float32)"
99,"tf.Tensor(7.551441, shape=(), dtype=float32)"
100,"tf.Tensor(7.353789, shape=(), dtype=float32)"
101,"tf.Tensor(7.3911467, shape=(), dtype=float32)"
102,"tf.Tensor(7.097208, shape=(), dtype=float32)"
