step,train_loss
0,
1,"tf.Tensor(7.7144957, shape=(), dtype=float32)"
2,"tf.Tensor(6.1874847, shape=(), dtype=float32)"
3,"tf.Tensor(7.036608, shape=(), dtype=float32)"
4,"tf.Tensor(7.021261, shape=(), dtype=float32)"
5,"tf.Tensor(7.196075, shape=(), dtype=float32)"
6,"tf.Tensor(6.813315, shape=(), dtype=float32)"
7,"tf.Tensor(6.6248484, shape=(), dtype=float32)"
8,"tf.Tensor(7.0417433, shape=(), dtype=float32)"
9,"tf.Tensor(6.4111404, shape=(), dtype=float32)"
10,"tf.Tensor(6.850798, shape=(), dtype=float32)"
11,"tf.Tensor(8.072225, shape=(), dtype=float32)"
12,"tf.Tensor(7.652558, shape=(), dtype=float32)"
13,"tf.Tensor(6.7233043, shape=(), dtype=float32)"
14,"tf.Tensor(6.660635, shape=(), dtype=float32)"
15,"tf.Tensor(7.5352855, shape=(), dtype=float32)"
16,"tf.Tensor(6.9187565, shape=(), dtype=float32)"
17,"tf.Tensor(7.040306, shape=(), dtype=float32)"
18,"tf.Tensor(7.569825, shape=(), dtype=float32)"
19,"tf.Tensor(6.7181606, shape=(), dtype=float32)"
20,"tf.Tensor(6.7511744, shape=(), dtype=float32)"
21,"tf.Tensor(7.3494444, shape=(), dtype=float32)"
22,"tf.Tensor(6.704382, shape=(), dtype=float32)"
23,"tf.Tensor(6.622464, shape=(), dtype=float32)"
24,"tf.Tensor(6.6345153, shape=(), dtype=float32)"
25,"tf.Tensor(6.846792, shape=(), dtype=float32)"
26,"tf.Tensor(7.062365, shape=(), dtype=float32)"
27,"tf.Tensor(7.2404428, shape=(), dtype=float32)"
28,"tf.Tensor(7.091449, shape=(), dtype=float32)"
29,"tf.Tensor(7.0749693, shape=(), dtype=float32)"
30,"tf.Tensor(7.4172997, shape=(), dtype=float32)"
31,"tf.Tensor(6.8240514, shape=(), dtype=float32)"
32,"tf.Tensor(7.6931844, shape=(), dtype=float32)"
33,"tf.Tensor(7.095022, shape=(), dtype=float32)"
34,"tf.Tensor(6.9842253, shape=(), dtype=float32)"
35,"tf.Tensor(6.629769, shape=(), dtype=float32)"
36,"tf.Tensor(6.299046, shape=(), dtype=float32)"
37,"tf.Tensor(8.121026, shape=(), dtype=float32)"
38,"tf.Tensor(7.8011265, shape=(), dtype=float32)"
39,"tf.Tensor(6.6702757, shape=(), dtype=float32)"
40,"tf.Tensor(7.198148, shape=(), dtype=float32)"
41,"tf.Tensor(7.4773226, shape=(), dtype=float32)"
42,"tf.Tensor(7.2778363, shape=(), dtype=float32)"
43,"tf.Tensor(7.445955, shape=(), dtype=float32)"
44,"tf.Tensor(8.175057, shape=(), dtype=float32)"
45,"tf.Tensor(7.0162535, shape=(), dtype=float32)"
46,"tf.Tensor(7.127096, shape=(), dtype=float32)"
47,"tf.Tensor(8.217818, shape=(), dtype=float32)"
48,"tf.Tensor(7.3002057, shape=(), dtype=float32)"
49,"tf.Tensor(7.759717, shape=(), dtype=float32)"
50,"tf.Tensor(7.2464337, shape=(), dtype=float32)"
51,"tf.Tensor(6.6821165, shape=(), dtype=float32)"
52,"tf.Tensor(7.1833935, shape=(), dtype=float32)"
53,"tf.Tensor(7.076188, shape=(), dtype=float32)"
54,"tf.Tensor(7.54818, shape=(), dtype=float32)"
55,"tf.Tensor(7.1649423, shape=(), dtype=float32)"
56,"tf.Tensor(6.9189663, shape=(), dtype=float32)"
57,"tf.Tensor(7.9530077, shape=(), dtype=float32)"
58,"tf.Tensor(7.5272055, shape=(), dtype=float32)"
59,"tf.Tensor(7.3448567, shape=(), dtype=float32)"
60,"tf.Tensor(7.438287, shape=(), dtype=float32)"
61,"tf.Tensor(7.2876253, shape=(), dtype=float32)"
62,"tf.Tensor(6.8538914, shape=(), dtype=float32)"
63,"tf.Tensor(7.031577, shape=(), dtype=float32)"
64,"tf.Tensor(7.493693, shape=(), dtype=float32)"
65,"tf.Tensor(7.083216, shape=(), dtype=float32)"
66,"tf.Tensor(7.367889, shape=(), dtype=float32)"
67,"tf.Tensor(6.695389, shape=(), dtype=float32)"
68,"tf.Tensor(7.175128, shape=(), dtype=float32)"
69,"tf.Tensor(6.9881167, shape=(), dtype=float32)"
70,"tf.Tensor(7.3289447, shape=(), dtype=float32)"
71,"tf.Tensor(7.7167163, shape=(), dtype=float32)"
72,"tf.Tensor(7.215816, shape=(), dtype=float32)"
73,"tf.Tensor(7.1842937, shape=(), dtype=float32)"
74,"tf.Tensor(7.0051994, shape=(), dtype=float32)"
75,"tf.Tensor(7.1773634, shape=(), dtype=float32)"
76,"tf.Tensor(7.077447, shape=(), dtype=float32)"
77,"tf.Tensor(7.229993, shape=(), dtype=float32)"
78,"tf.Tensor(7.344603, shape=(), dtype=float32)"
79,"tf.Tensor(7.4290953, shape=(), dtype=float32)"
80,"tf.Tensor(6.9410734, shape=(), dtype=float32)"
81,"tf.Tensor(7.0944505, shape=(), dtype=float32)"
82,"tf.Tensor(7.0964923, shape=(), dtype=float32)"
83,"tf.Tensor(7.7269125, shape=(), dtype=float32)"
84,"tf.Tensor(7.1384344, shape=(), dtype=float32)"
85,"tf.Tensor(7.1094117, shape=(), dtype=float32)"
86,"tf.Tensor(7.7161994, shape=(), dtype=float32)"
87,"tf.Tensor(7.3385496, shape=(), dtype=float32)"
88,"tf.Tensor(7.774018, shape=(), dtype=float32)"
89,"tf.Tensor(6.8445997, shape=(), dtype=float32)"
90,"tf.Tensor(7.2810197, shape=(), dtype=float32)"
91,"tf.Tensor(7.208829, shape=(), dtype=float32)"
92,"tf.Tensor(7.4371386, shape=(), dtype=float32)"
93,"tf.Tensor(7.2932243, shape=(), dtype=float32)"
94,"tf.Tensor(7.046709, shape=(), dtype=float32)"
95,"tf.Tensor(6.843758, shape=(), dtype=float32)"
96,"tf.Tensor(7.3818636, shape=(), dtype=float32)"
97,"tf.Tensor(7.326165, shape=(), dtype=float32)"
98,"tf.Tensor(7.472116, shape=(), dtype=float32)"
99,"tf.Tensor(6.526451, shape=(), dtype=float32)"
100,"tf.Tensor(6.658151, shape=(), dtype=float32)"
