step,train_loss
0,
1,"tf.Tensor(6.3575597, shape=(), dtype=float32)"
2,"tf.Tensor(9.151176, shape=(), dtype=float32)"
3,"tf.Tensor(8.029433, shape=(), dtype=float32)"
4,"tf.Tensor(8.986658, shape=(), dtype=float32)"
5,"tf.Tensor(8.041656, shape=(), dtype=float32)"
6,"tf.Tensor(8.261946, shape=(), dtype=float32)"
7,"tf.Tensor(8.253694, shape=(), dtype=float32)"
8,"tf.Tensor(7.8694253, shape=(), dtype=float32)"
9,"tf.Tensor(8.494914, shape=(), dtype=float32)"
10,"tf.Tensor(7.438169, shape=(), dtype=float32)"
11,"tf.Tensor(8.204484, shape=(), dtype=float32)"
12,"tf.Tensor(7.5287127, shape=(), dtype=float32)"
13,"tf.Tensor(8.132175, shape=(), dtype=float32)"
14,"tf.Tensor(8.537821, shape=(), dtype=float32)"
15,"tf.Tensor(7.8560286, shape=(), dtype=float32)"
16,"tf.Tensor(8.768751, shape=(), dtype=float32)"
17,"tf.Tensor(8.405176, shape=(), dtype=float32)"
18,"tf.Tensor(8.42781, shape=(), dtype=float32)"
19,"tf.Tensor(7.0403466, shape=(), dtype=float32)"
20,"tf.Tensor(9.881423, shape=(), dtype=float32)"
21,"tf.Tensor(7.171854, shape=(), dtype=float32)"
22,"tf.Tensor(8.531999, shape=(), dtype=float32)"
23,"tf.Tensor(8.192609, shape=(), dtype=float32)"
24,"tf.Tensor(9.172429, shape=(), dtype=float32)"
25,"tf.Tensor(8.726092, shape=(), dtype=float32)"
26,"tf.Tensor(8.424552, shape=(), dtype=float32)"
27,"tf.Tensor(8.495492, shape=(), dtype=float32)"
28,"tf.Tensor(9.907287, shape=(), dtype=float32)"
29,"tf.Tensor(9.043459, shape=(), dtype=float32)"
30,"tf.Tensor(8.187443, shape=(), dtype=float32)"
31,"tf.Tensor(8.445903, shape=(), dtype=float32)"
32,"tf.Tensor(8.968717, shape=(), dtype=float32)"
33,"tf.Tensor(8.149248, shape=(), dtype=float32)"
34,"tf.Tensor(8.3143635, shape=(), dtype=float32)"
35,"tf.Tensor(8.155921, shape=(), dtype=float32)"
36,"tf.Tensor(8.785551, shape=(), dtype=float32)"
37,"tf.Tensor(7.2576594, shape=(), dtype=float32)"
38,"tf.Tensor(8.60291, shape=(), dtype=float32)"
39,"tf.Tensor(8.841764, shape=(), dtype=float32)"
40,"tf.Tensor(9.03487, shape=(), dtype=float32)"
41,"tf.Tensor(10.194442, shape=(), dtype=float32)"
42,"tf.Tensor(9.799777, shape=(), dtype=float32)"
43,"tf.Tensor(8.204583, shape=(), dtype=float32)"
