step,train_loss
0,
1,"tf.Tensor(25.811491, shape=(), dtype=float32)"
2,"tf.Tensor(24.873167, shape=(), dtype=float32)"
3,"tf.Tensor(24.031645, shape=(), dtype=float32)"
4,"tf.Tensor(22.795666, shape=(), dtype=float32)"
5,"tf.Tensor(20.274881, shape=(), dtype=float32)"
6,"tf.Tensor(16.519, shape=(), dtype=float32)"
7,"tf.Tensor(13.505254, shape=(), dtype=float32)"
8,"tf.Tensor(9.157356, shape=(), dtype=float32)"
9,"tf.Tensor(6.3779182, shape=(), dtype=float32)"
10,"tf.Tensor(4.594988, shape=(), dtype=float32)"
11,"tf.Tensor(3.8203082, shape=(), dtype=float32)"
12,"tf.Tensor(4.4036593, shape=(), dtype=float32)"
13,"tf.Tensor(4.5081015, shape=(), dtype=float32)"
14,"tf.Tensor(4.9910035, shape=(), dtype=float32)"
15,"tf.Tensor(5.306422, shape=(), dtype=float32)"
16,"tf.Tensor(5.401698, shape=(), dtype=float32)"
17,"tf.Tensor(5.400215, shape=(), dtype=float32)"
18,"tf.Tensor(5.4968195, shape=(), dtype=float32)"
19,"tf.Tensor(5.6711597, shape=(), dtype=float32)"
20,"tf.Tensor(5.8434043, shape=(), dtype=float32)"
21,"tf.Tensor(5.7390704, shape=(), dtype=float32)"
22,"tf.Tensor(5.602441, shape=(), dtype=float32)"
23,"tf.Tensor(5.8836946, shape=(), dtype=float32)"
24,"tf.Tensor(6.049092, shape=(), dtype=float32)"
25,"tf.Tensor(5.857991, shape=(), dtype=float32)"
26,"tf.Tensor(5.9303384, shape=(), dtype=float32)"
27,"tf.Tensor(5.8181524, shape=(), dtype=float32)"
28,"tf.Tensor(5.815684, shape=(), dtype=float32)"
29,"tf.Tensor(5.858596, shape=(), dtype=float32)"
30,"tf.Tensor(5.9990244, shape=(), dtype=float32)"
31,"tf.Tensor(5.9736376, shape=(), dtype=float32)"
32,"tf.Tensor(5.957652, shape=(), dtype=float32)"
33,"tf.Tensor(6.0048304, shape=(), dtype=float32)"
34,"tf.Tensor(6.1082163, shape=(), dtype=float32)"
35,"tf.Tensor(6.0353694, shape=(), dtype=float32)"
36,"tf.Tensor(6.061591, shape=(), dtype=float32)"
37,"tf.Tensor(6.0597105, shape=(), dtype=float32)"
38,"tf.Tensor(6.153008, shape=(), dtype=float32)"
39,"tf.Tensor(6.0273905, shape=(), dtype=float32)"
40,"tf.Tensor(6.0933485, shape=(), dtype=float32)"
41,"tf.Tensor(6.0140224, shape=(), dtype=float32)"
42,"tf.Tensor(6.1418543, shape=(), dtype=float32)"
43,"tf.Tensor(6.112428, shape=(), dtype=float32)"
44,"tf.Tensor(6.207273, shape=(), dtype=float32)"
45,"tf.Tensor(6.047902, shape=(), dtype=float32)"
46,"tf.Tensor(6.0163536, shape=(), dtype=float32)"
47,"tf.Tensor(6.1265316, shape=(), dtype=float32)"
48,"tf.Tensor(6.1898365, shape=(), dtype=float32)"
49,"tf.Tensor(6.0501328, shape=(), dtype=float32)"
50,"tf.Tensor(6.234942, shape=(), dtype=float32)"
51,"tf.Tensor(6.0818906, shape=(), dtype=float32)"
52,"tf.Tensor(6.192721, shape=(), dtype=float32)"
53,"tf.Tensor(6.124665, shape=(), dtype=float32)"
54,"tf.Tensor(6.0165997, shape=(), dtype=float32)"
55,"tf.Tensor(6.0541186, shape=(), dtype=float32)"
56,"tf.Tensor(6.1114645, shape=(), dtype=float32)"
57,"tf.Tensor(6.130671, shape=(), dtype=float32)"
58,"tf.Tensor(6.074163, shape=(), dtype=float32)"
59,"tf.Tensor(6.153745, shape=(), dtype=float32)"
60,"tf.Tensor(6.152038, shape=(), dtype=float32)"
61,"tf.Tensor(6.1136537, shape=(), dtype=float32)"
62,"tf.Tensor(6.053511, shape=(), dtype=float32)"
63,"tf.Tensor(6.0676236, shape=(), dtype=float32)"
64,"tf.Tensor(6.090863, shape=(), dtype=float32)"
65,"tf.Tensor(6.0270534, shape=(), dtype=float32)"
66,"tf.Tensor(6.1423655, shape=(), dtype=float32)"
67,"tf.Tensor(6.014488, shape=(), dtype=float32)"
68,"tf.Tensor(6.1255164, shape=(), dtype=float32)"
69,"tf.Tensor(6.1998105, shape=(), dtype=float32)"
70,"tf.Tensor(6.0768714, shape=(), dtype=float32)"
71,"tf.Tensor(6.0877113, shape=(), dtype=float32)"
72,"tf.Tensor(6.219586, shape=(), dtype=float32)"
73,"tf.Tensor(6.238877, shape=(), dtype=float32)"
74,"tf.Tensor(6.1827946, shape=(), dtype=float32)"
75,"tf.Tensor(6.239983, shape=(), dtype=float32)"
76,"tf.Tensor(6.153414, shape=(), dtype=float32)"
77,"tf.Tensor(6.305477, shape=(), dtype=float32)"
78,"tf.Tensor(6.2267594, shape=(), dtype=float32)"
79,"tf.Tensor(6.18537, shape=(), dtype=float32)"
80,"tf.Tensor(6.191131, shape=(), dtype=float32)"
81,"tf.Tensor(6.070983, shape=(), dtype=float32)"
82,"tf.Tensor(6.1532264, shape=(), dtype=float32)"
83,"tf.Tensor(6.076467, shape=(), dtype=float32)"
84,"tf.Tensor(6.0272923, shape=(), dtype=float32)"
85,"tf.Tensor(6.0442495, shape=(), dtype=float32)"
86,"tf.Tensor(6.028624, shape=(), dtype=float32)"
87,"tf.Tensor(6.0878897, shape=(), dtype=float32)"
88,"tf.Tensor(5.9680214, shape=(), dtype=float32)"
89,"tf.Tensor(6.16478, shape=(), dtype=float32)"
90,"tf.Tensor(5.9874506, shape=(), dtype=float32)"
91,"tf.Tensor(6.11056, shape=(), dtype=float32)"
92,"tf.Tensor(6.113685, shape=(), dtype=float32)"
93,"tf.Tensor(6.1393394, shape=(), dtype=float32)"
94,"tf.Tensor(6.145192, shape=(), dtype=float32)"
95,"tf.Tensor(6.2598715, shape=(), dtype=float32)"
96,"tf.Tensor(6.1156864, shape=(), dtype=float32)"
97,"tf.Tensor(6.2797384, shape=(), dtype=float32)"
98,"tf.Tensor(6.0448403, shape=(), dtype=float32)"
99,"tf.Tensor(6.278675, shape=(), dtype=float32)"
100,"tf.Tensor(6.328497, shape=(), dtype=float32)"
101,"tf.Tensor(6.2497225, shape=(), dtype=float32)"
102,"tf.Tensor(6.11078, shape=(), dtype=float32)"
103,"tf.Tensor(6.0537677, shape=(), dtype=float32)"
104,"tf.Tensor(6.156631, shape=(), dtype=float32)"
105,"tf.Tensor(6.246909, shape=(), dtype=float32)"
106,"tf.Tensor(6.539815, shape=(), dtype=float32)"
107,"tf.Tensor(7.115485, shape=(), dtype=float32)"
108,"tf.Tensor(6.470313, shape=(), dtype=float32)"
109,"tf.Tensor(10.115636, shape=(), dtype=float32)"
110,"tf.Tensor(11.621354, shape=(), dtype=float32)"
111,"tf.Tensor(11.783299, shape=(), dtype=float32)"
112,"tf.Tensor(11.099382, shape=(), dtype=float32)"
113,"tf.Tensor(9.22362, shape=(), dtype=float32)"
114,"tf.Tensor(8.416121, shape=(), dtype=float32)"
115,"tf.Tensor(8.141448, shape=(), dtype=float32)"
116,"tf.Tensor(7.7311473, shape=(), dtype=float32)"
117,"tf.Tensor(7.2274513, shape=(), dtype=float32)"
118,"tf.Tensor(7.585362, shape=(), dtype=float32)"
119,"tf.Tensor(7.505776, shape=(), dtype=float32)"
120,"tf.Tensor(7.49466, shape=(), dtype=float32)"
121,"tf.Tensor(8.261762, shape=(), dtype=float32)"
122,"tf.Tensor(7.3629775, shape=(), dtype=float32)"
123,"tf.Tensor(7.2821765, shape=(), dtype=float32)"
124,"tf.Tensor(7.762606, shape=(), dtype=float32)"
125,"tf.Tensor(7.3591866, shape=(), dtype=float32)"
126,"tf.Tensor(7.668232, shape=(), dtype=float32)"
127,"tf.Tensor(7.403096, shape=(), dtype=float32)"
128,"tf.Tensor(7.890309, shape=(), dtype=float32)"
129,"tf.Tensor(6.8064775, shape=(), dtype=float32)"
130,"tf.Tensor(7.1051483, shape=(), dtype=float32)"
131,"tf.Tensor(7.4226055, shape=(), dtype=float32)"
132,"tf.Tensor(8.008398, shape=(), dtype=float32)"
133,"tf.Tensor(7.3376994, shape=(), dtype=float32)"
134,"tf.Tensor(6.864754, shape=(), dtype=float32)"
135,"tf.Tensor(7.053809, shape=(), dtype=float32)"
136,"tf.Tensor(7.048953, shape=(), dtype=float32)"
137,"tf.Tensor(7.2925825, shape=(), dtype=float32)"
138,"tf.Tensor(7.4818435, shape=(), dtype=float32)"
139,"tf.Tensor(7.2845597, shape=(), dtype=float32)"
140,"tf.Tensor(7.2770624, shape=(), dtype=float32)"
141,"tf.Tensor(7.215696, shape=(), dtype=float32)"
142,"tf.Tensor(7.581332, shape=(), dtype=float32)"
143,"tf.Tensor(6.9499235, shape=(), dtype=float32)"
144,"tf.Tensor(6.998267, shape=(), dtype=float32)"
145,"tf.Tensor(7.0607963, shape=(), dtype=float32)"
146,"tf.Tensor(6.896374, shape=(), dtype=float32)"
147,"tf.Tensor(7.2822747, shape=(), dtype=float32)"
148,"tf.Tensor(7.34014, shape=(), dtype=float32)"
149,"tf.Tensor(7.5339584, shape=(), dtype=float32)"
150,"tf.Tensor(6.9225717, shape=(), dtype=float32)"
151,"tf.Tensor(7.1077642, shape=(), dtype=float32)"
152,"tf.Tensor(7.5652165, shape=(), dtype=float32)"
153,"tf.Tensor(6.9780254, shape=(), dtype=float32)"
154,"tf.Tensor(7.23695, shape=(), dtype=float32)"
155,"tf.Tensor(6.877345, shape=(), dtype=float32)"
156,"tf.Tensor(6.4041023, shape=(), dtype=float32)"
157,"tf.Tensor(7.022114, shape=(), dtype=float32)"
158,"tf.Tensor(7.147543, shape=(), dtype=float32)"
159,"tf.Tensor(7.190652, shape=(), dtype=float32)"
160,"tf.Tensor(7.6069965, shape=(), dtype=float32)"
161,"tf.Tensor(6.8948965, shape=(), dtype=float32)"
162,"tf.Tensor(7.4208894, shape=(), dtype=float32)"
163,"tf.Tensor(7.8906574, shape=(), dtype=float32)"
164,"tf.Tensor(7.182289, shape=(), dtype=float32)"
165,"tf.Tensor(7.333121, shape=(), dtype=float32)"
166,"tf.Tensor(7.1492734, shape=(), dtype=float32)"
167,"tf.Tensor(7.633128, shape=(), dtype=float32)"
