step,train_loss
0,
1,"tf.Tensor(8.757088, shape=(), dtype=float32)"
2,"tf.Tensor(6.556038, shape=(), dtype=float32)"
3,"tf.Tensor(5.6279187, shape=(), dtype=float32)"
4,"tf.Tensor(6.8874125, shape=(), dtype=float32)"
5,"tf.Tensor(6.5698595, shape=(), dtype=float32)"
6,"tf.Tensor(6.101445, shape=(), dtype=float32)"
7,"tf.Tensor(6.832021, shape=(), dtype=float32)"
8,"tf.Tensor(6.164226, shape=(), dtype=float32)"
9,"tf.Tensor(7.0331855, shape=(), dtype=float32)"
10,"tf.Tensor(6.0104256, shape=(), dtype=float32)"
11,"tf.Tensor(6.4244957, shape=(), dtype=float32)"
12,"tf.Tensor(7.3342166, shape=(), dtype=float32)"
13,"tf.Tensor(6.049052, shape=(), dtype=float32)"
14,"tf.Tensor(8.459736, shape=(), dtype=float32)"
15,"tf.Tensor(4.4967227, shape=(), dtype=float32)"
16,"tf.Tensor(5.975622, shape=(), dtype=float32)"
17,"tf.Tensor(6.7150946, shape=(), dtype=float32)"
18,"tf.Tensor(8.797878, shape=(), dtype=float32)"
19,"tf.Tensor(4.228591, shape=(), dtype=float32)"
20,"tf.Tensor(7.161849, shape=(), dtype=float32)"
21,"tf.Tensor(5.7751803, shape=(), dtype=float32)"
22,"tf.Tensor(6.0789967, shape=(), dtype=float32)"
23,"tf.Tensor(6.711352, shape=(), dtype=float32)"
24,"tf.Tensor(5.2873907, shape=(), dtype=float32)"
25,"tf.Tensor(7.563944, shape=(), dtype=float32)"
26,"tf.Tensor(6.5843096, shape=(), dtype=float32)"
27,"tf.Tensor(5.732319, shape=(), dtype=float32)"
28,"tf.Tensor(7.449168, shape=(), dtype=float32)"
29,"tf.Tensor(5.7426405, shape=(), dtype=float32)"
30,"tf.Tensor(4.725238, shape=(), dtype=float32)"
31,"tf.Tensor(6.3758135, shape=(), dtype=float32)"
32,"tf.Tensor(4.656602, shape=(), dtype=float32)"
33,"tf.Tensor(6.337842, shape=(), dtype=float32)"
34,"tf.Tensor(6.0652037, shape=(), dtype=float32)"
35,"tf.Tensor(6.380412, shape=(), dtype=float32)"
36,"tf.Tensor(5.9525943, shape=(), dtype=float32)"
37,"tf.Tensor(7.48483, shape=(), dtype=float32)"
38,"tf.Tensor(7.216469, shape=(), dtype=float32)"
39,"tf.Tensor(6.4683914, shape=(), dtype=float32)"
