step,train_loss
0,
1,"tf.Tensor(6.462137, shape=(), dtype=float32)"
2,"tf.Tensor(3.8626227, shape=(), dtype=float32)"
3,"tf.Tensor(4.7572217, shape=(), dtype=float32)"
4,"tf.Tensor(5.694306, shape=(), dtype=float32)"
5,"tf.Tensor(6.1975884, shape=(), dtype=float32)"
6,"tf.Tensor(9.230463, shape=(), dtype=float32)"
7,"tf.Tensor(11.768959, shape=(), dtype=float32)"
8,"tf.Tensor(10.212592, shape=(), dtype=float32)"
9,"tf.Tensor(9.655139, shape=(), dtype=float32)"
10,"tf.Tensor(10.732369, shape=(), dtype=float32)"
11,"tf.Tensor(12.011899, shape=(), dtype=float32)"
12,"tf.Tensor(11.747838, shape=(), dtype=float32)"
13,"tf.Tensor(11.915014, shape=(), dtype=float32)"
14,"tf.Tensor(11.262869, shape=(), dtype=float32)"
15,"tf.Tensor(12.030385, shape=(), dtype=float32)"
16,"tf.Tensor(11.406453, shape=(), dtype=float32)"
17,"tf.Tensor(8.763761, shape=(), dtype=float32)"
18,"tf.Tensor(8.964946, shape=(), dtype=float32)"
19,"tf.Tensor(7.931692, shape=(), dtype=float32)"
20,"tf.Tensor(8.038072, shape=(), dtype=float32)"
21,"tf.Tensor(7.823574, shape=(), dtype=float32)"
22,"tf.Tensor(9.763991, shape=(), dtype=float32)"
23,"tf.Tensor(10.14395, shape=(), dtype=float32)"
24,"tf.Tensor(8.066836, shape=(), dtype=float32)"
25,"tf.Tensor(9.595713, shape=(), dtype=float32)"
26,"tf.Tensor(9.6543, shape=(), dtype=float32)"
27,"tf.Tensor(8.711295, shape=(), dtype=float32)"
28,"tf.Tensor(8.677094, shape=(), dtype=float32)"
29,"tf.Tensor(7.0486994, shape=(), dtype=float32)"
30,"tf.Tensor(7.165471, shape=(), dtype=float32)"
31,"tf.Tensor(7.508045, shape=(), dtype=float32)"
32,"tf.Tensor(7.8522787, shape=(), dtype=float32)"
33,"tf.Tensor(8.978535, shape=(), dtype=float32)"
34,"tf.Tensor(8.162376, shape=(), dtype=float32)"
35,"tf.Tensor(8.502637, shape=(), dtype=float32)"
36,"tf.Tensor(7.6477427, shape=(), dtype=float32)"
37,"tf.Tensor(7.692387, shape=(), dtype=float32)"
38,"tf.Tensor(7.638776, shape=(), dtype=float32)"
39,"tf.Tensor(9.4617605, shape=(), dtype=float32)"
40,"tf.Tensor(7.659357, shape=(), dtype=float32)"
41,"tf.Tensor(8.099572, shape=(), dtype=float32)"
42,"tf.Tensor(7.3914933, shape=(), dtype=float32)"
43,"tf.Tensor(10.084486, shape=(), dtype=float32)"
44,"tf.Tensor(7.7351823, shape=(), dtype=float32)"
45,"tf.Tensor(9.734347, shape=(), dtype=float32)"
46,"tf.Tensor(9.480234, shape=(), dtype=float32)"
47,"tf.Tensor(8.84145, shape=(), dtype=float32)"
48,"tf.Tensor(9.995475, shape=(), dtype=float32)"
49,"tf.Tensor(8.950712, shape=(), dtype=float32)"
50,"tf.Tensor(8.007214, shape=(), dtype=float32)"
51,"tf.Tensor(9.154977, shape=(), dtype=float32)"
52,"tf.Tensor(10.234419, shape=(), dtype=float32)"
53,"tf.Tensor(9.03537, shape=(), dtype=float32)"
54,"tf.Tensor(8.156957, shape=(), dtype=float32)"
55,"tf.Tensor(8.3027, shape=(), dtype=float32)"
56,"tf.Tensor(7.725708, shape=(), dtype=float32)"
57,"tf.Tensor(9.227832, shape=(), dtype=float32)"
58,"tf.Tensor(7.6709247, shape=(), dtype=float32)"
59,"tf.Tensor(9.115586, shape=(), dtype=float32)"
60,"tf.Tensor(8.333945, shape=(), dtype=float32)"
61,"tf.Tensor(7.722845, shape=(), dtype=float32)"
62,"tf.Tensor(7.958619, shape=(), dtype=float32)"
63,"tf.Tensor(7.6262093, shape=(), dtype=float32)"
64,"tf.Tensor(7.663737, shape=(), dtype=float32)"
65,"tf.Tensor(9.476147, shape=(), dtype=float32)"
66,"tf.Tensor(9.190565, shape=(), dtype=float32)"
67,"tf.Tensor(9.547455, shape=(), dtype=float32)"
68,"tf.Tensor(8.940503, shape=(), dtype=float32)"
69,"tf.Tensor(10.079433, shape=(), dtype=float32)"
70,"tf.Tensor(9.367847, shape=(), dtype=float32)"
71,"tf.Tensor(8.29898, shape=(), dtype=float32)"
72,"tf.Tensor(9.111159, shape=(), dtype=float32)"
73,"tf.Tensor(8.564106, shape=(), dtype=float32)"
74,"tf.Tensor(7.9964, shape=(), dtype=float32)"
75,"tf.Tensor(7.752354, shape=(), dtype=float32)"
76,"tf.Tensor(10.106086, shape=(), dtype=float32)"
77,"tf.Tensor(7.9660587, shape=(), dtype=float32)"
78,"tf.Tensor(8.073254, shape=(), dtype=float32)"
79,"tf.Tensor(9.408173, shape=(), dtype=float32)"
80,"tf.Tensor(8.632666, shape=(), dtype=float32)"
81,"tf.Tensor(9.731493, shape=(), dtype=float32)"
82,"tf.Tensor(7.9490404, shape=(), dtype=float32)"
83,"tf.Tensor(7.854559, shape=(), dtype=float32)"
84,"tf.Tensor(8.880786, shape=(), dtype=float32)"
85,"tf.Tensor(8.028115, shape=(), dtype=float32)"
86,"tf.Tensor(7.6166863, shape=(), dtype=float32)"
87,"tf.Tensor(7.409305, shape=(), dtype=float32)"
88,"tf.Tensor(9.096078, shape=(), dtype=float32)"
89,"tf.Tensor(8.861533, shape=(), dtype=float32)"
90,"tf.Tensor(10.685055, shape=(), dtype=float32)"
91,"tf.Tensor(8.51143, shape=(), dtype=float32)"
92,"tf.Tensor(7.7200813, shape=(), dtype=float32)"
93,"tf.Tensor(8.934562, shape=(), dtype=float32)"
94,"tf.Tensor(10.88317, shape=(), dtype=float32)"
95,"tf.Tensor(8.264874, shape=(), dtype=float32)"
96,"tf.Tensor(9.73161, shape=(), dtype=float32)"
97,"tf.Tensor(10.583972, shape=(), dtype=float32)"
98,"tf.Tensor(8.667335, shape=(), dtype=float32)"
99,"tf.Tensor(9.812071, shape=(), dtype=float32)"
100,"tf.Tensor(8.799674, shape=(), dtype=float32)"
