step,avg_reward
0,-210.80261
1,-211.59325
2,-212.06169
3,-211.7769
4,-211.2532
5,-211.55373
6,-210.0892
7,-211.4292
8,-212.70955
9,-211.6759
10,-211.25732
11,-210.69878
12,-210.87927
13,-212.20526
14,-211.38173
15,-210.40822
16,-212.37791
17,-211.58292
18,-210.3235
19,-213.16788
20,-211.88533
21,-212.17499
22,-211.95006
23,-212.1479
24,-212.04982
25,-212.70702
26,-212.28598
27,-212.50378
28,-213.81328
29,-212.92888
30,-213.4867
31,-213.99545
32,-213.26216
33,-213.62663
34,-212.0014
35,-212.60773
36,-213.19708
